frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
0,1777496693308,1777496693947,1777496694114,806,167,639
1,1777496693308,1777496694101,1777496694266,958,165,793
2,1777496693308,1777496694167,1777496694322,1014,155,859
3,1777496693361,1777496694216,1777496694382,1021,166,855
4,1777496693361,1777496694369,1777496694437,1076,68,1008
5,1777496693361,1777496694433,1777496694491,1130,58,1072
6,1777496693361,1777496694479,1777496694547,1186,68,1118
7,1777496693361,1777496694479,1777496694619,1258,140,1118
8,1777496693361,1777496694567,1777496694678,1317,111,1206
9,1777496693361,1777496694642,1777496694735,1374,93,1281
10,1777496693405,1777496694672,1777496694792,1387,120,1267
11,1777496693405,1777496694744,1777496694850,1445,106,1339
12,1777496693405,1777496694744,1777496694908,1503,164,1339
13,1777496693437,1777496694767,1777496694967,1530,200,1330
14,1777496693437,1777496694813,1777496695027,1590,214,1376
15,1777496693477,1777496694833,1777496695086,1609,253,1356
16,1777496693538,1777496694879,1777496695144,1606,265,1341
17,1777496693538,1777496694879,1777496695201,1663,322,1341
18,1777496693538,1777496694900,1777496695260,1722,360,1362
19,1777496693572,1777496694900,1777496695319,1747,419,1328
20,1777496693605,1777496694946,1777496695378,1773,432,1341
21,1777496693672,1777496694966,1777496695437,1765,471,1294
22,1777496693672,1777496695012,1777496695496,1824,484,1340
23,1777496693706,1777496695080,1777496695555,1849,475,1374
24,1777496693738,1777496695080,1777496695612,1874,532,1342
25,1777496693771,1777496695166,1777496695670,1899,504,1395
26,1777496693805,1777496695166,1777496695727,1922,561,1361
27,1777496693805,1777496695166,1777496695783,1978,617,1361
28,1777496693838,1777496695166,1777496695843,2005,677,1328
29,1777496693938,1777496695212,1777496695902,1964,690,1274
30,1777496693971,1777496695233,1777496695960,1989,727,1262
31,1777496694004,1777496695233,1777496696016,2012,783,1229
32,1777496694004,1777496695233,1777496696074,2070,841,1229
33,1777496694072,1777496695277,1777496696133,2061,856,1205
34,1777496694104,1777496695300,1777496696192,2088,892,1196
35,1777496694138,1777496695300,1777496696251,2113,951,1162
36,1777496694138,1777496695366,1777496696309,2171,943,1228
37,1777496694138,1777496695366,1777496696370,2232,1004,1228
38,1777496694239,1777496695366,1777496696430,2191,1064,1127
39,1777496694372,1777496695366,1777496696490,2118,1124,994
40,1777496694437,1777496695416,1777496696548,2111,1132,979
41,1777496694470,1777496695477,1777496696604,2134,1127,1007
42,1777496694504,1777496695565,1777496696661,2157,1096,1061
43,1777496694504,1777496695610,1777496696718,2214,1108,1106
44,1777496694504,1777496695712,1777496696776,2272,1064,1208
45,1777496694504,1777496695799,1777496696832,2328,1033,1295
46,1777496694537,1777496695910,1777496696888,2351,978,1373
47,1777496694537,1777496696012,1777496696943,2406,931,1475
48,1777496694537,1777496696012,1777496697000,2463,988,1475
49,1777496694571,1777496696174,1777496697057,2486,883,1603
50,1777496694604,1777496696277,1777496697114,2510,837,1673
51,1777496694604,1777496696366,1777496697170,2566,804,1762
52,1777496694638,1777496696499,1777496697226,2588,727,1861
53,1777496694638,1777496696543,1777496697282,2644,739,1905
54,1777496694671,1777496696632,1777496697340,2669,708,1961
55,1777496694703,1777496696743,1777496697395,2692,652,2040
56,1777496694772,1777496696810,1777496697450,2678,640,2038
57,1777496694871,1777496696876,1777496697505,2634,629,2005
58,1777496694871,1777496696977,1777496697560,2689,583,2106
59,1777496694871,1777496696977,1777496697615,2744,638,2106
60,1777496694905,1777496697044,1777496697672,2767,628,2139
61,1777496694971,1777496697109,1777496697728,2757,619,2138
62,1777496695038,1777496697132,1777496697784,2746,652,2094
63,1777496695106,1777496697211,1777496697840,2734,629,2105
64,1777496695106,1777496697211,1777496697895,2789,684,2105
65,1777496695238,1777496697277,1777496697951,2713,674,2039
66,1777496695370,1777496697297,1777496698009,2639,712,1927
67,1777496695504,1777496697297,1777496698065,2561,768,1793
68,1777496695605,1777496697340,1777496698121,2516,781,1735
69,1777496695605,1777496697340,1777496698178,2573,838,1735
70,1777496695704,1777496697340,1777496698236,2532,896,1636
71,1777496695704,1777496697340,1777496698295,2591,955,1636
72,1777496695770,1777496697411,1777496698355,2585,944,1641
73,1777496695837,1777496697411,1777496698413,2576,1002,1574
74,1777496695871,1777496697411,1777496698472,2601,1061,1540
75,1777496695937,1777496697431,1777496698531,2594,1100,1494
76,1777496695969,1777496697477,1777496698588,2619,1111,1508
77,1777496696071,1777496697497,1777496698645,2574,1148,1426
78,1777496696103,1777496697497,1777496698701,2598,1204,1394
79,1777496696204,1777496697543,1777496698758,2554,1215,1339
80,1777496696204,1777496697543,1777496698815,2611,1272,1339
81,1777496696238,1777496697564,1777496698872,2634,1308,1326
82,1777496696304,1777496697564,1777496698933,2629,1369,1260
83,1777496696404,1777496697610,1777496698989,2585,1379,1206
84,1777496696438,1777496697610,1777496699046,2608,1436,1172
85,1777496696506,1777496697610,1777496699103,2597,1493,1104
86,1777496696506,1777496697677,1777496699163,2657,1486,1171
87,1777496696554,1777496697742,1777496699221,2667,1479,1188
88,1777496696554,1777496697764,1777496699280,2726,1516,1210
89,1777496696637,1777496697807,1777496699338,2701,1531,1170
90,1777496696637,1777496697807,1777496699393,2756,1586,1170
91,1777496696637,1777496697865,1777496699451,2814,1586,1228
92,1777496696770,1777496697909,1777496699508,2738,1599,1139
93,1777496696804,1777496697931,1777496699565,2761,1634,1127
94,1777496696837,1777496697931,1777496699622,2785,1691,1094
95,1777496696837,1777496697997,1777496699680,2843,1683,1160
96,1777496696837,1777496698043,1777496699739,2902,1696,1206
97,1777496696837,1777496698111,1777496699798,2961,1687,1274
98,1777496696904,1777496698176,1777496699857,2953,1681,1272
99,1777496697003,1777496698176,1777496699914,2911,1738,1173
100,1777496697003,1777496698197,1777496699972,2969,1775,1194
101,1777496697035,1777496698197,1777496700030,2995,1833,1162
102,1777496697175,1777496698243,1777496700088,2913,1845,1068
103,1777496697235,1777496698243,1777496700147,2912,1904,1008
104,1777496697304,1777496698264,1777496700203,2899,1939,960
105,1777496697304,1777496698309,1777496700261,2957,1952,1005
106,1777496697336,1777496698309,1777496700319,2983,2010,973
107,1777496697402,1777496698331,1777496700378,2976,2047,929
108,1777496697502,1777496698331,1777496700437,2935,2106,829
109,1777496697637,1777496698331,1777496700494,2857,2163,694
110,1777496697671,1777496698331,1777496700553,2882,2222,660
111,1777496697671,1777496698377,1777496700609,2938,2232,706
112,1777496697704,1777496698397,1777496700666,2962,2269,693
113,1777496697835,1777496698443,1777496700724,2889,2281,608
114,1777496697835,1777496698464,1777496700780,2945,2316,629
115,1777496697869,1777496698510,1777496700836,2967,2326,641
116,1777496697911,1777496698510,1777496700893,2982,2383,599
117,1777496697911,1777496698510,1777496700952,3041,2442,599
118,1777496698070,1777496698510,1777496701012,2942,2502,440
119,1777496698169,1777496698510,1777496701071,2902,2561,341
120,1777496698270,1777496698510,1777496701130,2860,2620,240
121,1777496698270,1777496698510,1777496701189,2919,2679,240
122,1777496698337,1777496698510,1777496701248,2911,2738,173
123,1777496698337,1777496698577,1777496701306,2969,2729,240
124,1777496698377,1777496698597,1777496701364,2987,2767,220
125,1777496698435,1777496698664,1777496701424,2989,2760,229
126,1777496698435,1777496698664,1777496701482,3047,2818,229
127,1777496698435,1777496698664,1777496701541,3106,2877,229
128,1777496698500,1777496698664,1777496701600,3100,2936,164
129,1777496698604,1777496698664,1777496701658,3054,2994,60
130,1777496698702,1777496698664,1777496701717,3015,3053,38
131,1777496698735,1777496698664,1777496701775,3040,3111,71
132,1777496698735,1777496698730,1777496701835,3100,3105,5
133,1777496698768,1777496698730,1777496701892,3124,3162,38
134,1777496698802,1777496698798,1777496701949,3147,3151,4
135,1777496698871,1777496698843,1777496702006,3135,3163,28
136,1777496698903,1777496698843,1777496702065,3162,3222,60
137,1777496698903,1777496698843,1777496702123,3220,3280,60
138,1777496698903,1777496698864,1777496702183,3280,3319,39
139,1777496698968,1777496698909,1777496702243,3275,3334,59
140,1777496699002,1777496698930,1777496702301,3299,3371,72
141,1777496699035,1777496698975,1777496702358,3323,3383,60
142,1777496699035,1777496698998,1777496702414,3379,3416,37
