frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
0,1777497093654,1777497093618,1777497093815,161,197,36
1,1777497093819,1777497093660,1777497093974,155,314,159
2,1777497093850,1777497093660,1777497094028,178,368,190
3,1777497093933,1777497093683,1777497094088,155,405,250
4,1777497093933,1777497093726,1777497094143,210,417,207
5,1777497093995,1777497093726,1777497094198,203,472,269
6,1777497094084,1777497093726,1777497094255,171,529,358
7,1777497094150,1777497093749,1777497094315,165,566,401
8,1777497094150,1777497093749,1777497094372,222,623,401
9,1777497094200,1777497093749,1777497094430,230,681,451
10,1777497094321,1777497093791,1777497094489,168,698,530
11,1777497094354,1777497093825,1777497094547,193,722,529
12,1777497094451,1777497093825,1777497094605,154,780,626
13,1777497094485,1777497093858,1777497094664,179,806,627
14,1777497094549,1777497093989,1777497094719,170,730,560
15,1777497094620,1777497094017,1777497094776,156,759,603
16,1777497094620,1777497094059,1777497094832,212,773,561
17,1777497094727,1777497094124,1777497094890,163,766,603
18,1777497094754,1777497094216,1777497094948,194,732,538
19,1777497094852,1777497094216,1777497095006,154,790,636
20,1777497094889,1777497094259,1777497095065,176,806,630
21,1777497094954,1777497094293,1777497095122,168,829,661
22,1777497095017,1777497094293,1777497095177,160,884,724
23,1777497095050,1777497094293,1777497095234,184,941,757
24,1777497095121,1777497094293,1777497095292,171,999,828
25,1777497095188,1777497094293,1777497095350,162,1057,895
26,1777497095253,1777497094815,1777497095409,156,594,438
27,1777497095285,1777497094893,1777497095466,181,573,392
28,1777497095319,1777497094893,1777497095522,203,629,426
29,1777497095417,1777497094893,1777497095580,163,687,524
30,1777497095484,1777497094915,1777497095637,153,722,569
31,1777497095527,1777497094915,1777497095693,166,778,612
32,1777497095554,1777497094915,1777497095750,196,835,639
33,1777497095554,1777497094915,1777497095808,254,893,639
34,1777497095619,1777497094915,1777497095867,248,952,704
35,1777497095754,1777497095292,1777497095926,172,634,462
36,1777497095819,1777497095292,1777497095981,162,689,527
37,1777497095885,1777497095389,1777497096038,153,649,496
38,1777497095885,1777497095423,1777497096094,209,671,462
39,1777497095885,1777497095492,1777497096151,266,659,393
40,1777497095885,1777497095548,1777497096207,322,659,337
41,1777497096023,1777497095587,1777497096265,242,678,436
42,1777497096150,1777497095587,1777497096320,170,733,563
43,1777497096194,1777497095587,1777497096377,183,790,607
44,1777497096251,1777497095587,1777497096434,183,847,664
45,1777497096288,1777497095587,1777497096494,206,907,701
46,1777497096360,1777497095587,1777497096553,193,966,773
47,1777497096450,1777497095587,1777497096612,162,1025,863
48,1777497096450,1777497095992,1777497096670,220,678,458
49,1777497096555,1777497095992,1777497096725,170,733,563
50,1777497096587,1777497096057,1777497096783,196,726,530
51,1777497096686,1777497096057,1777497096840,154,783,629
52,1777497096686,1777497096156,1777497096897,211,741,530
53,1777497096784,1777497096190,1777497096954,170,764,594
54,1777497096849,1777497096224,1777497097010,161,786,625
55,1777497096888,1777497096258,1777497097067,179,809,630
56,1777497096954,1777497096258,1777497097124,170,866,696
57,1777497097020,1777497096325,1777497097181,161,856,695
58,1777497097086,1777497096325,1777497097238,152,913,761
59,1777497097119,1777497096325,1777497097295,176,970,794
60,1777497097186,1777497096325,1777497097353,167,1028,861
61,1777497097252,1777497096858,1777497097409,157,551,394
62,1777497097285,1777497096959,1777497097464,179,505,326
63,1777497097352,1777497096980,1777497097520,168,540,372
64,1777497097417,1777497096980,1777497097575,158,595,437
65,1777497097462,1777497097299,1777497097633,171,334,163
66,1777497097520,1777497097458,1777497097691,171,233,62
67,1777497097587,1777497097547,1777497097746,159,199,40
68,1777497097619,1777497097623,1777497097801,182,178,4
69,1777497097687,1777497097692,1777497097856,169,164,5
70,1777497097752,1777497097755,1777497097912,160,157,3
71,1777497097786,1777497097789,1777497097968,182,179,3
72,1777497097852,1777497097857,1777497098024,172,167,5
73,1777497097917,1777497097891,1777497098080,163,189,26
74,1777497097983,1777497097955,1777497098136,153,181,28
75,1777497098016,1777497098024,1777497098191,175,167,8
76,1777497098048,1777497098091,1777497098249,201,158,43
77,1777497098154,1777497098147,1777497098307,153,160,7
78,1777497098154,1777497098214,1777497098365,211,151,60
79,1777497098250,1777497098255,1777497098420,170,165,5
80,1777497098283,1777497098324,1777497098476,193,152,41
81,1777497098352,1777497098358,1777497098534,182,176,6
82,1777497098419,1777497098392,1777497098589,170,197,27
83,1777497098485,1777497098489,1777497098645,160,156,4
84,1777497098518,1777497098522,1777497098701,183,179,4
85,1777497098585,1777497098591,1777497098756,171,165,6
86,1777497098650,1777497098659,1777497098812,162,153,9
87,1777497098687,1777497098692,1777497098869,182,177,5
88,1777497098753,1777497098753,1777497098927,174,174,0
89,1777497098818,1777497098820,1777497098982,164,162,2
90,1777497098884,1777497098852,1777497099039,155,187,32
91,1777497098917,1777497098925,1777497099096,179,171,8
92,1777497098983,1777497098988,1777497099154,171,166,5
93,1777497099047,1777497099054,1777497099209,162,155,7
94,1777497099085,1777497099088,1777497099266,181,178,3
95,1777497099150,1777497099157,1777497099324,174,167,7
96,1777497099216,1777497099197,1777497099381,165,184,19
97,1777497099281,1777497099257,1777497099437,156,180,24
98,1777497099320,1777497099324,1777497099494,174,170,4
99,1777497099386,1777497099381,1777497099549,163,168,5
