frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
0,1777496791745,1777496790298,1777496792040,295,1742,1447
1,1777496791911,1777496790431,1777496792209,298,1778,1480
2,1777496791911,1777496790454,1777496792262,351,1808,1457
3,1777496791979,1777496790519,1777496792321,342,1802,1460
4,1777496791979,1777496790564,1777496792375,396,1811,1415
5,1777496791979,1777496790587,1777496792430,451,1843,1392
6,1777496792012,1777496790632,1777496792486,474,1854,1380
7,1777496792043,1777496790632,1777496792553,510,1921,1411
8,1777496792111,1777496790632,1777496792607,496,1975,1479
9,1777496792111,1777496790692,1777496792663,552,1971,1419
10,1777496792145,1777496790731,1777496792719,574,1988,1414
11,1777496792176,1777496790753,1777496792774,598,2021,1423
12,1777496792176,1777496790798,1777496792830,654,2032,1378
13,1777496792176,1777496790865,1777496792887,711,2022,1311
14,1777496792176,1777496790931,1777496792943,767,2012,1245
15,1777496792212,1777496790952,1777496793001,789,2049,1260
16,1777496792212,1777496790999,1777496793059,847,2060,1213
17,1777496792251,1777496791019,1777496793116,865,2097,1232
18,1777496792251,1777496791066,1777496793173,922,2107,1185
19,1777496792251,1777496791066,1777496793230,979,2164,1185
20,1777496792315,1777496791119,1777496793288,973,2169,1196
21,1777496792378,1777496791165,1777496793346,968,2181,1213
22,1777496792378,1777496791165,1777496793403,1025,2238,1213
23,1777496792378,1777496791165,1777496793460,1082,2295,1213
24,1777496792513,1777496791165,1777496793519,1006,2354,1348
25,1777496792576,1777496791165,1777496793578,1002,2413,1411
26,1777496792576,1777496791232,1777496793637,1061,2405,1344
27,1777496792611,1777496791252,1777496793694,1083,2442,1359
28,1777496792644,1777496791252,1777496793750,1106,2498,1392
29,1777496792644,1777496791299,1777496793806,1162,2507,1345
30,1777496792644,1777496791320,1777496793863,1219,2543,1324
31,1777496792644,1777496791386,1777496793923,1279,2537,1258
32,1777496792644,1777496791466,1777496793979,1335,2513,1178
33,1777496792675,1777496791466,1777496794035,1360,2569,1209
34,1777496792746,1777496791485,1777496794093,1347,2608,1261
35,1777496792777,1777496791531,1777496794151,1374,2620,1246
36,1777496792777,1777496791597,1777496794206,1429,2609,1180
37,1777496792777,1777496791631,1777496794263,1486,2632,1146
38,1777496792848,1777496791652,1777496794320,1472,2668,1196
39,1777496792848,1777496791698,1777496794377,1529,2679,1150
40,1777496792848,1777496791719,1777496794434,1586,2715,1129
41,1777496792912,1777496791785,1777496794492,1580,2707,1127
42,1777496792912,1777496791852,1777496794549,1637,2697,1060
43,1777496792912,1777496791895,1777496794605,1693,2710,1017
