frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
0,1777497157876,1777497158835,1777497159244,1368,409,959
1,1777497158075,1777497158973,1777497159392,1317,419,898
2,1777497158075,1777497159009,1777497159446,1371,437,934
3,1777497158075,1777497159009,1777497159504,1429,495,934
4,1777497158208,1777497159009,1777497159559,1351,550,801
5,1777497158208,1777497159009,1777497159615,1407,606,801
6,1777497158208,1777497159043,1777497159671,1463,628,835
7,1777497158404,1777497159043,1777497159738,1334,695,639
8,1777497158404,1777497159043,1777497159796,1392,753,639
9,1777497158404,1777497159043,1777497159854,1450,811,639
10,1777497158444,1777497159078,1777497159915,1471,837,634
11,1777497158444,1777497159078,1777497159977,1533,899,634
12,1777497158444,1777497159100,1777497160036,1592,936,656
13,1777497158576,1777497159100,1777497160095,1519,995,524
14,1777497158576,1777497159100,1777497160154,1578,1054,524
15,1777497158576,1777497159100,1777497160214,1638,1114,524
16,1777497158576,1777497159143,1777497160273,1697,1130,567
17,1777497158756,1777497159143,1777497160333,1577,1190,387
18,1777497158756,1777497159177,1777497160392,1636,1215,421
19,1777497158756,1777497159177,1777497160452,1696,1275,421
20,1777497158756,1777497159177,1777497160512,1756,1335,421
21,1777497159343,1777497159205,1777497160571,1228,1366,138
22,1777497159343,1777497159240,1777497160630,1287,1390,103
23,1777497159475,1777497159240,1777497160688,1213,1448,235
24,1777497159475,1777497159240,1777497160746,1271,1506,235
25,1777497159475,1777497159240,1777497160805,1330,1565,235
26,1777497159876,1777497159275,1777497160865,989,1590,601
27,1777497159876,1777497159275,1777497160925,1049,1650,601
28,1777497159876,1777497159275,1777497160985,1109,1710,601
29,1777497160074,1777497159275,1777497161046,972,1771,799
30,1777497160074,1777497159310,1777497161105,1031,1795,764
31,1777497160107,1777497159310,1777497161164,1057,1854,797
32,1777497160107,1777497159310,1777497161222,1115,1912,797
33,1777497160107,1777497159343,1777497161283,1176,1940,764
34,1777497160107,1777497159343,1777497161345,1238,2002,764
35,1777497160107,1777497159376,1777497161406,1299,2030,731
