frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1776805147002,1776805147283,1776805147681,679,398,281
1,1776805147002,1776805147283,1776805147849,847,566,281
2,1776805147002,1776805147283,1776805147919,917,636,281
3,1776805147002,1776805147283,1776805147988,986,705,281
4,1776805147652,1776805147283,1776805148059,407,776,369
5,1776805147652,1776805147283,1776805148128,476,845,369
6,1776805147652,1776805147283,1776805148208,556,925,369
7,1776805147652,1776805147283,1776805148277,625,994,369
8,1776805147652,1776805147953,1776805148346,694,393,301
9,1776805147652,1776805147953,1776805148414,762,461,301
10,1776805147652,1776805147953,1776805148484,832,531,301
11,1776805147652,1776805147953,1776805148554,902,601,301
12,1776805147652,1776805147953,1776805148622,970,669,301
13,1776805148284,1776805147953,1776805148692,408,739,331
14,1776805148284,1776805147953,1776805148761,477,808,331
15,1776805148284,1776805147953,1776805148829,545,876,331
16,1776805148284,1776805147953,1776805148897,613,944,331
17,1776805148284,1776805147953,1776805148965,681,1012,331
18,1776805148284,1776805148624,1776805149034,750,410,340
19,1776805148284,1776805148624,1776805149103,819,479,340
20,1776805148284,1776805148624,1776805149171,887,547,340
21,1776805148284,1776805148624,1776805149240,956,616,340
22,1776805148950,1776805148624,1776805149310,360,686,326
23,1776805148950,1776805148624,1776805149382,432,758,326
24,1776805148950,1776805148624,1776805149452,502,828,326
25,1776805148950,1776805148624,1776805149521,571,897,326
26,1776805148950,1776805149216,1776805149590,640,374,266
27,1776805148950,1776805149216,1776805149657,707,441,266
28,1776805148950,1776805149216,1776805149725,775,509,266
29,1776805148950,1776805149216,1776805149794,844,578,266
30,1776805148950,1776805149216,1776805149862,912,646,266
31,1776805149542,1776805149216,1776805149931,389,715,326
32,1776805149542,1776805149216,1776805149999,457,783,326
33,1776805149542,1776805149216,1776805150068,526,852,326
34,1776805149542,1776805149216,1776805150137,595,921,326
35,1776805149542,1776805149216,1776805150207,665,991,326
36,1776805149542,1776805149883,1776805150276,734,393,341
37,1776805149542,1776805149883,1776805150345,803,462,341
38,1776805149542,1776805149883,1776805150410,868,527,341
39,1776805149542,1776805149883,1776805150476,934,593,341
40,1776805150182,1776805149883,1776805150542,360,659,299
41,1776805150182,1776805149883,1776805150608,426,725,299
42,1776805150182,1776805149883,1776805150677,495,794,299
43,1776805150182,1776805149883,1776805150747,565,864,299
44,1776805150182,1776805150501,1776805150816,634,315,319
45,1776805150182,1776805150501,1776805150884,702,383,319
46,1776805150182,1776805150501,1776805150952,770,451,319
47,1776805150182,1776805150501,1776805151021,839,520,319
48,1776805150182,1776805150501,1776805151088,906,587,319
49,1776805150779,1776805150501,1776805151155,376,654,278
50,1776805150779,1776805150501,1776805151222,443,721,278
51,1776805150779,1776805150501,1776805151290,511,789,278
52,1776805150779,1776805150501,1776805151358,579,857,278
53,1776805150779,1776805151084,1776805151427,648,343,305
54,1776805150779,1776805151084,1776805151495,716,411,305
55,1776805150779,1776805151084,1776805151564,785,480,305
56,1776805150779,1776805151084,1776805151633,854,549,305
57,1776805150779,1776805151084,1776805151704,925,620,305
58,1776805151377,1776805151084,1776805151774,397,690,293
59,1776805151377,1776805151084,1776805151845,468,761,293
60,1776805151377,1776805151084,1776805151915,538,831,293
61,1776805151377,1776805151084,1776805151984,607,900,293
62,1776805151377,1776805151682,1776805152053,676,371,305
63,1776805151377,1776805151682,1776805152120,743,438,305
64,1776805151377,1776805151682,1776805152188,811,506,305
65,1776805151377,1776805151682,1776805152256,879,574,305
66,1776805151377,1776805151682,1776805152324,947,642,305
67,1776805152009,1776805151682,1776805152392,383,710,327
68,1776805152009,1776805151682,1776805152460,451,778,327
69,1776805152009,1776805151682,1776805152529,520,847,327
