frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1776788875934,1776788875998,1776788876320,386,322,64
1,1776788876187,1776788876127,1776788876518,331,391,60
2,1776788876187,1776788876250,1776788876624,437,374,63
3,1776788876347,1776788876250,1776788876728,381,478,97
4,1776788876508,1776788876432,1776788876833,325,401,76
5,1776788876508,1776788876432,1776788876937,429,505,76
6,1776788876730,1776788876643,1776788877034,304,391,87
7,1776788876730,1776788876788,1776788877133,403,345,58
8,1776788876845,1776788876914,1776788877230,385,316,69
9,1776788877025,1776788876914,1776788877326,301,412,111
10,1776788877025,1776788876914,1776788877423,398,509,111
11,1776788877187,1776788877129,1776788877520,333,391,58
12,1776788877187,1776788877270,1776788877618,431,348,83
13,1776788877385,1776788877270,1776788877715,330,445,115
14,1776788877385,1776788877458,1776788877812,427,354,73
15,1776788877551,1776788877458,1776788877909,358,451,93
16,1776788877551,1776788877613,1776788878007,456,394,62
17,1776788877711,1776788877613,1776788878105,394,492,98
18,1776788877843,1776788877901,1776788878203,360,302,58
19,1776788877843,1776788877901,1776788878300,457,399,58
20,1776788878022,1776788878068,1776788878398,376,330,46
21,1776788878174,1776788878068,1776788878492,318,424,106
22,1776788878174,1776788878276,1776788878590,416,314,102
23,1776788878353,1776788878276,1776788878688,335,412,77
24,1776788878452,1776788878394,1776788878785,333,391,58
25,1776788878452,1776788878511,1776788878884,432,373,59
26,1776788878618,1776788878659,1776788878982,364,323,41
27,1776788878618,1776788878659,1776788879078,460,419,41
28,1776788878788,1776788878659,1776788879174,386,515,129
29,1776788878949,1776788878884,1776788879273,324,389,65
30,1776788879068,1776788878975,1776788879371,303,396,93
31,1776788879068,1776788879151,1776788879468,400,317,83
32,1776788879189,1776788879236,1776788879567,378,331,47
33,1776788879352,1776788879236,1776788879663,311,427,116
34,1776788879352,1776788879391,1776788879758,406,367,39
35,1776788879468,1776788879556,1776788879856,388,300,88
36,1776788879626,1776788879556,1776788879954,328,398,70
37,1776788879626,1776788879698,1776788880051,425,353,72
38,1776788879780,1776788879698,1776788880148,368,450,82
