frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1777414343201,1777414339590,1777414343393,192,3803,3611
1,1777414343333,1777414339631,1777414343546,213,3915,3702
2,1777414343333,1777414339669,1777414343600,267,3931,3664
3,1777414343333,1777414339669,1777414343658,325,3989,3664
4,1777414343468,1777414339701,1777414343712,244,4011,3767
5,1777414343468,1777414339701,1777414343767,299,4066,3767
6,1777414343468,1777414339701,1777414343823,355,4122,3767
7,1777414343468,1777414339767,1777414343891,423,4124,3701
8,1777414343534,1777414339790,1777414343947,413,4157,3744
9,1777414343601,1777414339790,1777414344004,403,4214,3811
10,1777414343601,1777414339836,1777414344061,460,4225,3765
11,1777414343601,1777414339902,1777414344121,520,4219,3699
12,1777414343601,1777414339923,1777414344180,579,4257,3678
13,1777414343668,1777414339990,1777414344239,571,4249,3678
14,1777414343668,1777414339990,1777414344295,627,4305,3678
15,1777414343734,1777414339990,1777414344352,618,4362,3744
16,1777414343734,1777414340056,1777414344411,677,4355,3678
17,1777414343734,1777414340056,1777414344469,735,4413,3678
18,1777414343801,1777414340056,1777414344529,728,4473,3745
19,1777414343867,1777414340100,1777414344588,721,4488,3767
20,1777414343935,1777414340122,1777414344646,711,4524,3813
21,1777414343935,1777414340168,1777414344703,768,4535,3767
22,1777414343935,1777414340168,1777414344760,825,4592,3767
23,1777414343935,1777414340189,1777414344819,884,4630,3746
24,1777414343935,1777414340235,1777414344878,943,4643,3700
25,1777414343966,1777414340302,1777414344936,970,4634,3664
26,1777414343966,1777414340302,1777414344992,1026,4690,3664
27,1777414344001,1777414340302,1777414345051,1050,4749,3699
28,1777414344067,1777414340322,1777414345110,1043,4788,3745
29,1777414344067,1777414340389,1777414345167,1100,4778,3678
30,1777414344067,1777414340389,1777414345223,1156,4834,3678
31,1777414344135,1777414340389,1777414345280,1145,4891,3746
32,1777414344135,1777414340434,1777414345338,1203,4904,3701
33,1777414344135,1777414340456,1777414345398,1263,4942,3679
34,1777414344200,1777414340567,1777414345457,1257,4890,3633
35,1777414344234,1777414340567,1777414345514,1280,4947,3667
36,1777414344234,1777414340601,1777414345571,1337,4970,3633
37,1777414344234,1777414340601,1777414345628,1394,5027,3633
38,1777414344234,1777414340668,1777414345684,1450,5016,3566
39,1777414344302,1777414340735,1777414345743,1441,5008,3567
40,1777414344302,1777414340756,1777414345802,1500,5046,3546
41,1777414344302,1777414340756,1777414345860,1558,5104,3546
42,1777414344368,1777414340756,1777414345918,1550,5162,3612
43,1777414344368,1777414340756,1777414345976,1608,5220,3612
44,1777414344368,1777414340801,1777414346036,1668,5235,3567
45,1777414344368,1777414340868,1777414346094,1726,5226,3500
46,1777414344368,1777414340935,1777414346153,1785,5218,3433
47,1777414344368,1777414340935,1777414346212,1844,5277,3433
48,1777414344434,1777414341022,1777414346271,1837,5249,3412
49,1777414344434,1777414341067,1777414346329,1895,5262,3367
50,1777414344434,1777414341089,1777414346388,1954,5299,3345
51,1777414344501,1777414341134,1777414346445,1944,5311,3367
52,1777414344501,1777414341134,1777414346503,2002,5369,3367
53,1777414344567,1777414341201,1777414346561,1994,5360,3366
54,1777414344567,1777414341222,1777414346619,2052,5397,3345
55,1777414344633,1777414341268,1777414346676,2043,5408,3365
56,1777414344702,1777414341289,1777414346732,2030,5443,3413
57,1777414344702,1777414341289,1777414346788,2086,5499,3413
58,1777414344767,1777414341334,1777414346849,2082,5515,3433
59,1777414344901,1777414341356,1777414346906,2005,5550,3545
60,1777414344966,1777414341356,1777414346961,1995,5605,3610
61,1777414345101,1777414341356,1777414347017,1916,5661,3745
62,1777414345101,1777414341401,1777414347073,1972,5672,3700
63,1777414345101,1777414341401,1777414347131,2030,5730,3700
64,1777414345234,1777414341401,1777414347190,1956,5789,3833
65,1777414345368,1777414341401,1777414347249,1881,5848,3967
66,1777414345434,1777414341401,1777414347307,1873,5906,4033
67,1777414345501,1777414341401,1777414347364,1863,5963,4100
68,1777414345566,1777414341401,1777414347423,1857,6022,4165
69,1777414345699,1777414341401,1777414347480,1781,6079,4298
70,1777414345833,1777414341401,1777414347536,1703,6135,4432
71,1777414346033,1777414341401,1777414347593,1560,6192,4632
72,1777414346102,1777414341401,1777414347649,1547,6248,4701
73,1777414346167,1777414341401,1777414347705,1538,6304,4766
74,1777414346234,1777414341401,1777414347762,1528,6361,4833
75,1777414346300,1777414341422,1777414347820,1520,6398,4878
76,1777414346433,1777414341468,1777414347876,1443,6408,4965
77,1777414346500,1777414341488,1777414347932,1432,6444,5012
78,1777414346500,1777414341555,1777414347989,1489,6434,4945
79,1777414346567,1777414341555,1777414348045,1478,6490,5012
80,1777414346701,1777414341623,1777414348102,1401,6479,5078
81,1777414346768,1777414341666,1777414348158,1390,6492,5102
82,1777414346832,1777414341689,1777414348214,1382,6525,5143
83,1777414346832,1777414341733,1777414348270,1438,6537,5099
84,1777414346901,1777414341733,1777414348327,1426,6594,5168
85,1777414347033,1777414341755,1777414348384,1351,6629,5278
86,1777414347099,1777414341755,1777414348440,1341,6685,5344
87,1777414347299,1777414341800,1777414348495,1196,6695,5499
88,1777414347299,1777414341800,1777414348550,1251,6750,5499
89,1777414347434,1777414341800,1777414348606,1172,6806,5634
90,1777414347500,1777414341800,1777414348663,1163,6863,5700
91,1777414347667,1777414341800,1777414348722,1055,6922,5867
92,1777414347796,1777414341800,1777414348780,984,6980,5996
93,1777414347867,1777414341800,1777414348837,970,7037,6067
94,1777414347867,1777414341800,1777414348894,1027,7094,6067
95,1777414347995,1777414341800,1777414348953,958,7153,6195
96,1777414348100,1777414341822,1777414349012,912,7190,6278
97,1777414348165,1777414341822,1777414349069,904,7247,6343
98,1777414348300,1777414341867,1777414349127,827,7260,6433
99,1777414348300,1777414341867,1777414349182,882,7315,6433
100,1777414348361,1777414341867,1777414349240,879,7373,6494
101,1777414348399,1777414341888,1777414349298,899,7410,6511
102,1777414348465,1777414341935,1777414349356,891,7421,6530
103,1777414348598,1777414341935,1777414349412,814,7477,6663
104,1777414348666,1777414341935,1777414349468,802,7533,6731
105,1777414348800,1777414341935,1777414349526,726,7591,6865
106,1777414348832,1777414341935,1777414349584,752,7649,6897
107,1777414348967,1777414341935,1777414349644,677,7709,7032
108,1777414349033,1777414342000,1777414349701,668,7701,7033
109,1777414349098,1777414342000,1777414349759,661,7759,7098
