frame_index,cam_0_ts_ms,cam_1_ts_ms,cam_2_ts_ms,cam_3_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,latency_2_ms,latency_3_ms,sync_error_ms
0,1777424812441,1777424820172,1777424827850,1777424777664,1777424828689,16248,8517,839,51025,50186
1,1777424812460,1777424820182,1777424827883,1777424777731,1777424828865,16405,8683,982,51134,50152
2,1777424812460,1777424820182,1777424827916,1777424777731,1777424828947,16487,8765,1031,51216,50185
3,1777424812460,1777424820182,1777424827916,1777424777752,1777424829031,16571,8849,1115,51279,50164
4,1777424812460,1777424820182,1777424827916,1777424777752,1777424829115,16655,8933,1199,51363,50164
5,1777424812469,1777424820182,1777424827916,1777424777798,1777424829196,16727,9014,1280,51398,50118
6,1777424812469,1777424820191,1777424827916,1777424777819,1777424829281,16812,9090,1365,51462,50097
7,1777424812469,1777424820191,1777424827949,1777424777819,1777424829361,16892,9170,1412,51542,50130
8,1777424812478,1777424820191,1777424828017,1777424777865,1777424829441,16963,9250,1424,51576,50152
9,1777424812478,1777424820191,1777424828017,1777424777865,1777424829522,17044,9331,1505,51657,50152
10,1777424812478,1777424820191,1777424828017,1777424777885,1777424829603,17125,9412,1586,51718,50132
11,1777424812487,1777424820201,1777424828037,1777424777931,1777424829685,17198,9484,1648,51754,50106
12,1777424812487,1777424820201,1777424828083,1777424777952,1777424829765,17278,9564,1682,51813,50131
13,1777424812487,1777424820201,1777424828083,1777424777997,1777424829846,17359,9645,1763,51849,50086
14,1777424812487,1777424820201,1777424828122,1777424778018,1777424829927,17440,9726,1805,51909,50104
15,1777424812506,1777424820221,1777424828152,1777424778064,1777424830008,17502,9787,1856,51944,50088
16,1777424812506,1777424820221,1777424828217,1777424778085,1777424830090,17584,9869,1873,52005,50132
17,1777424812506,1777424820221,1777424828217,1777424778085,1777424830171,17665,9950,1954,52086,50132
18,1777424812515,1777424820230,1777424828283,1777424778153,1777424830253,17738,10023,1970,52100,50130
19,1777424812515,1777424820230,1777424828283,1777424778153,1777424830334,17819,10104,2051,52181,50130
20,1777424812515,1777424820240,1777424828283,1777424778199,1777424830414,17899,10174,2131,52215,50084
21,1777424812515,1777424820240,1777424828318,1777424778199,1777424830495,17980,10255,2177,52296,50119
22,1777424812524,1777424820240,1777424828384,1777424778218,1777424830577,18053,10337,2193,52359,50166
23,1777424812524,1777424820240,1777424828449,1777424778285,1777424830658,18134,10418,2209,52373,50164
24,1777424812524,1777424820240,1777424828449,1777424778285,1777424830739,18215,10499,2290,52454,50164
