frame_index,cam_0_ts_ms,cam_1_ts_ms,cam_2_ts_ms,cam_3_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,latency_2_ms,latency_3_ms,sync_error_ms
0,1777424071416,1777424081492,1777424095005,1777424101248,1777424102359,30943,20867,7354,1111,29832
1,1777424071416,1777424081492,1777424095005,1777424101333,1777424102539,31123,21047,7534,1206,29917
2,1777424071416,1777424081492,1777424095005,1777424101333,1777424102620,31204,21128,7615,1287,29917
3,1777424071416,1777424081492,1777424095005,1777424101399,1777424102703,31287,21211,7698,1304,29983
4,1777424071425,1777424081492,1777424095005,1777424101399,1777424102788,31363,21296,7783,1389,29974
5,1777424071425,1777424081492,1777424095005,1777424101399,1777424102876,31451,21384,7871,1477,29974
6,1777424071425,1777424081492,1777424095005,1777424101445,1777424102957,31532,21465,7952,1512,30020
7,1777424071425,1777424081514,1777424095005,1777424101512,1777424103039,31614,21525,8034,1527,30087
8,1777424071425,1777424081514,1777424095005,1777424101533,1777424103121,31696,21607,8116,1588,30108
9,1777424071425,1777424081514,1777424095005,1777424101599,1777424103202,31777,21688,8197,1603,30174
10,1777424071425,1777424081514,1777424095005,1777424101667,1777424103284,31859,21770,8279,1617,30242
11,1777424071425,1777424081514,1777424095005,1777424101713,1777424103365,31940,21851,8360,1652,30288
12,1777424071444,1777424081514,1777424095005,1777424101713,1777424103448,32004,21934,8443,1735,30269
13,1777424071444,1777424081514,1777424095005,1777424101713,1777424103528,32084,22014,8523,1815,30269
14,1777424071454,1777424081514,1777424095005,1777424101713,1777424103609,32155,22095,8604,1896,30259
15,1777424071454,1777424081514,1777424095005,1777424101778,1777424103689,32235,22175,8684,1911,30324
16,1777424071454,1777424081514,1777424095005,1777424101778,1777424103769,32315,22255,8764,1991,30324
17,1777424071454,1777424081514,1777424095005,1777424101866,1777424103851,32397,22337,8846,1985,30412
18,1777424071454,1777424081523,1777424095005,1777424101933,1777424103932,32478,22409,8927,1999,30479
19,1777424071454,1777424081523,1777424095005,1777424101933,1777424104014,32560,22491,9009,2081,30479
20,1777424071454,1777424081523,1777424095005,1777424101978,1777424104095,32641,22572,9090,2117,30524
21,1777424071454,1777424081523,1777424095005,1777424101978,1777424104176,32722,22653,9171,2198,30524
22,1777424071454,1777424081523,1777424095005,1777424101999,1777424104258,32804,22735,9253,2259,30545
23,1777424071463,1777424081523,1777424095005,1777424101999,1777424104338,32875,22815,9333,2339,30536
24,1777424071463,1777424081523,1777424095005,1777424101999,1777424104419,32956,22896,9414,2420,30536
25,1777424071463,1777424081523,1777424095005,1777424102045,1777424104501,33038,22978,9496,2456,30582
26,1777424071463,1777424081523,1777424095005,1777424102045,1777424104583,33120,23060,9578,2538,30582
27,1777424071463,1777424081523,1777424095005,1777424102045,1777424104664,33201,23141,9659,2619,30582
28,1777424071463,1777424081523,1777424095005,1777424102045,1777424104746,33283,23223,9741,2701,30582
29,1777424071463,1777424081523,1777424095005,1777424102045,1777424104828,33365,23305,9823,2783,30582
30,1777424071463,1777424081523,1777424095005,1777424102065,1777424104910,33447,23387,9905,2845,30602
31,1777424071463,1777424081523,1777424095005,1777424102111,1777424104992,33529,23469,9987,2881,30648
32,1777424071463,1777424081523,1777424095005,1777424102111,1777424105074,33611,23551,10069,2963,30648
33,1777424071463,1777424081523,1777424095005,1777424102111,1777424105156,33693,23633,10151,3045,30648
34,1777424071463,1777424081523,1777424095005,1777424102111,1777424105237,33774,23714,10232,3126,30648
35,1777424071473,1777424081523,1777424095005,1777424102111,1777424105318,33845,23795,10313,3207,30638
36,1777424071473,1777424081523,1777424095005,1777424102111,1777424105400,33927,23877,10395,3289,30638
37,1777424071473,1777424081523,1777424095005,1777424102111,1777424105482,34009,23959,10477,3371,30638
38,1777424071473,1777424081523,1777424095005,1777424102111,1777424105563,34090,24040,10558,3452,30638
39,1777424071473,1777424081523,1777424095005,1777424102111,1777424105645,34172,24122,10640,3534,30638
40,1777424071473,1777424081523,1777424095005,1777424102111,1777424105726,34253,24203,10721,3615,30638
41,1777424071473,1777424081523,1777424095005,1777424102134,1777424105809,34336,24286,10804,3675,30661
42,1777424071473,1777424081533,1777424095005,1777424102134,1777424105891,34418,24358,10886,3757,30661
43,1777424071473,1777424081533,1777424095070,1777424102134,1777424105972,34499,24439,10902,3838,30661
44,1777424071482,1777424081533,1777424095070,1777424102134,1777424106053,34571,24520,10983,3919,30652
45,1777424071482,1777424081533,1777424095070,1777424102134,1777424106135,34653,24602,11065,4001,30652
46,1777424071482,1777424081533,1777424095070,1777424102134,1777424106216,34734,24683,11146,4082,30652
47,1777424071482,1777424081533,1777424095070,1777424102134,1777424106298,34816,24765,11228,4164,30652
48,1777424071482,1777424081533,1777424095070,1777424102134,1777424106379,34897,24846,11309,4245,30652
49,1777424071502,1777424081533,1777424095070,1777424102134,1777424106460,34958,24927,11390,4326,30632
50,1777424071502,1777424081533,1777424095070,1777424102134,1777424106540,35038,25007,11470,4406,30632
51,1777424071502,1777424081533,1777424095070,1777424102134,1777424106622,35120,25089,11552,4488,30632
52,1777424071502,1777424081543,1777424095070,1777424102134,1777424106704,35202,25161,11634,4570,30632
53,1777424071502,1777424081543,1777424095070,1777424102134,1777424106784,35282,25241,11714,4650,30632
54,1777424071511,1777424081543,1777424095070,1777424102134,1777424106865,35354,25322,11795,4731,30623
55,1777424071511,1777424081543,1777424095070,1777424102134,1777424106945,35434,25402,11875,4811,30623
56,1777424071511,1777424081543,1777424095070,1777424102134,1777424107026,35515,25483,11956,4892,30623
57,1777424071511,1777424081543,1777424095070,1777424102180,1777424107107,35596,25564,12037,4927,30669
58,1777424071511,1777424081543,1777424095070,1777424102180,1777424107188,35677,25645,12118,5008,30669
59,1777424071511,1777424081543,1777424095070,1777424102180,1777424107271,35760,25728,12201,5091,30669
60,1777424071511,1777424081543,1777424095070,1777424102243,1777424107353,35842,25810,12283,5110,30732
61,1777424071511,1777424081543,1777424095070,1777424102243,1777424107435,35924,25892,12365,5192,30732
62,1777424071511,1777424081543,1777424095070,1777424102265,1777424107517,36006,25974,12447,5252,30754
63,1777424071511,1777424081543,1777424095070,1777424102265,1777424107599,36088,26056,12529,5334,30754
64,1777424071511,1777424081543,1777424095070,1777424102265,1777424107680,36169,26137,12610,5415,30754
65,1777424071511,1777424081543,1777424095070,1777424102265,1777424107762,36251,26219,12692,5497,30754
