frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1777420030794,1777420030893,1777420031135,341,242,99
1,1777420030816,1777420030993,1777420031283,467,290,177
2,1777420030816,1777420031026,1777420031337,521,311,210
3,1777420030861,1777420031093,1777420031395,534,302,232
4,1777420030881,1777420031093,1777420031450,569,357,212
5,1777420030923,1777420031157,1777420031504,581,347,234
6,1777420030960,1777420031191,1777420031558,598,367,231
7,1777420030960,1777420031191,1777420031622,662,431,231
8,1777420030982,1777420031224,1777420031679,697,455,242
9,1777420031081,1777420031259,1777420031734,653,475,178
10,1777420031081,1777420031393,1777420031790,709,397,312
11,1777420031125,1777420031490,1777420031845,720,355,365
12,1777420031125,1777420031490,1777420031900,775,410,365
13,1777420031125,1777420031632,1777420031957,832,325,507
14,1777420031125,1777420031660,1777420032013,888,353,535
15,1777420031125,1777420031754,1777420032070,945,316,629
16,1777420031173,1777420031792,1777420032127,954,335,619
17,1777420031226,1777420031829,1777420032183,957,354,603
18,1777420031248,1777420031829,1777420032240,992,411,581
19,1777420031294,1777420031856,1777420032296,1002,440,562
20,1777420031361,1777420031925,1777420032353,992,428,564
21,1777420031381,1777420031925,1777420032410,1029,485,544
22,1777420031522,1777420031958,1777420032466,944,508,436
23,1777420031522,1777420031958,1777420032522,1000,564,436
24,1777420031615,1777420031958,1777420032579,964,621,343
25,1777420031660,1777420032026,1777420032637,977,611,366
26,1777420031660,1777420032093,1777420032694,1034,601,433
27,1777420031681,1777420032159,1777420032750,1069,591,478
28,1777420031681,1777420032226,1777420032806,1125,580,545
29,1777420031728,1777420032292,1777420032862,1134,570,564
30,1777420031748,1777420032292,1777420032920,1172,628,544
31,1777420031881,1777420032292,1777420032977,1096,685,411
32,1777420031926,1777420032292,1777420033034,1108,742,366
33,1777420031926,1777420032359,1777420033091,1165,732,433
34,1777420031926,1777420032424,1777420033149,1223,725,498
35,1777420031994,1777420032458,1777420033206,1212,748,464
36,1777420032060,1777420032525,1777420033263,1203,738,465
37,1777420032060,1777420032557,1777420033318,1258,761,497
38,1777420032060,1777420032624,1777420033374,1314,750,564
39,1777420032060,1777420032624,1777420033431,1371,807,564
40,1777420032127,1777420032692,1777420033490,1363,798,565
41,1777420032192,1777420032692,1777420033548,1356,856,500
42,1777420032215,1777420032753,1777420033606,1391,853,538
43,1777420032260,1777420032753,1777420033662,1402,909,493
44,1777420032260,1777420032753,1777420033720,1460,967,493
45,1777420032348,1777420032791,1777420033778,1430,987,443
46,1777420032391,1777420032791,1777420033834,1443,1043,400
47,1777420032493,1777420032791,1777420033890,1397,1099,298
48,1777420032493,1777420032823,1777420033946,1453,1123,330
49,1777420032493,1777420032823,1777420034002,1509,1179,330
50,1777420032493,1777420032857,1777420034061,1568,1204,364
51,1777420032514,1777420032922,1777420034119,1605,1197,408
52,1777420032514,1777420032922,1777420034177,1663,1255,408
53,1777420032514,1777420033059,1777420034236,1722,1177,545
54,1777420032514,1777420033059,1777420034294,1780,1235,545
55,1777420032514,1777420033123,1777420034351,1837,1228,609
56,1777420032514,1777420033192,1777420034409,1895,1217,678
57,1777420032514,1777420033226,1777420034467,1953,1241,712
58,1777420032514,1777420033292,1777420034525,2011,1233,778
59,1777420032514,1777420033292,1777420034582,2068,1290,778
60,1777420032514,1777420033325,1777420034640,2126,1315,811
61,1777420032581,1777420033325,1777420034698,2117,1373,744
62,1777420032647,1777420033325,1777420034756,2109,1431,678
63,1777420032714,1777420033359,1777420034813,2099,1454,645
64,1777420032714,1777420033359,1777420034869,2155,1510,645
65,1777420032759,1777420033459,1777420034927,2168,1468,700
66,1777420032759,1777420033490,1777420034985,2226,1495,731
67,1777420032847,1777420033490,1777420035042,2195,1552,643
68,1777420032893,1777420033525,1777420035098,2205,1573,632
69,1777420032959,1777420033525,1777420035154,2195,1629,566
70,1777420033026,1777420033525,1777420035211,2185,1686,499
71,1777420033026,1777420033557,1777420035267,2241,1710,531
72,1777420033048,1777420033625,1777420035324,2276,1699,577
73,1777420033093,1777420033720,1777420035382,2289,1662,627
74,1777420033093,1777420033720,1777420035438,2345,1718,627
75,1777420033093,1777420033759,1777420035496,2403,1737,666
76,1777420033114,1777420033790,1777420035555,2441,1765,676
77,1777420033114,1777420033858,1777420035613,2499,1755,744
78,1777420033160,1777420033924,1777420035672,2512,1748,764
79,1777420033260,1777420033924,1777420035729,2469,1805,664
80,1777420033260,1777420033924,1777420035784,2524,1860,664
81,1777420033282,1777420033924,1777420035841,2559,1917,642
82,1777420033282,1777420034025,1777420035900,2618,1875,743
83,1777420033325,1777420034125,1777420035958,2633,1833,800
84,1777420033347,1777420034157,1777420036014,2667,1857,810
85,1777420033347,1777420034224,1777420036071,2724,1847,877
86,1777420033347,1777420034291,1777420036127,2780,1836,944
87,1777420033393,1777420034390,1777420036183,2790,1793,997
88,1777420033393,1777420034457,1777420036239,2846,1782,1064
89,1777420033414,1777420034523,1777420036297,2883,1774,1109
90,1777420033459,1777420034624,1777420036355,2896,1731,1165
91,1777420033459,1777420034656,1777420036412,2953,1756,1197
92,1777420033459,1777420034724,1777420036470,3011,1746,1265
93,1777420033480,1777420034758,1777420036527,3047,1769,1278
94,1777420033526,1777420034892,1777420036583,3057,1691,1366
95,1777420033547,1777420034957,1777420036639,3092,1682,1410
96,1777420033547,1777420034957,1777420036694,3147,1737,1410
97,1777420033547,1777420035023,1777420036750,3203,1727,1476
98,1777420033547,1777420035057,1777420036806,3259,1749,1510
99,1777420033614,1777420035125,1777420036865,3251,1740,1511
100,1777420033657,1777420035125,1777420036922,3265,1797,1468
