frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1777419264322,1777419264299,1777419264538,216,239,23
1,1777419264386,1777419264366,1777419264715,329,349,20
2,1777419264386,1777419264366,1777419264782,396,416,20
3,1777419264417,1777419264534,1777419264852,435,318,117
4,1777419264417,1777419264534,1777419264923,506,389,117
5,1777419264417,1777419264698,1777419264988,571,290,281
6,1777419264417,1777419264698,1777419265061,644,363,281
7,1777419264417,1777419264698,1777419265128,711,430,281
8,1777419264417,1777419265001,1777419265195,778,194,584
9,1777419264417,1777419265068,1777419265262,845,194,651
10,1777419264417,1777419265068,1777419265329,912,261,651
11,1777419264417,1777419265167,1777419265397,980,230,750
12,1777419264417,1777419265267,1777419265465,1048,198,850
13,1777419264417,1777419265332,1777419265531,1114,199,915
14,1777419264417,1777419265470,1777419265598,1181,128,1053
15,1777419264417,1777419265535,1777419265665,1248,130,1118
16,1777419264417,1777419265601,1777419265732,1315,131,1184
17,1777419264417,1777419265634,1777419265800,1383,166,1217
18,1777419264417,1777419265768,1777419265868,1451,100,1351
19,1777419264417,1777419265768,1777419265936,1519,168,1351
20,1777419265845,1777419265836,1777419266004,159,168,9
21,1777419265872,1777419265869,1777419266070,198,201,3
22,1777419265898,1777419265903,1777419266137,239,234,5
23,1777419265919,1777419265903,1777419266204,285,301,16
24,1777419265919,1777419265966,1777419266271,352,305,47
25,1777419265944,1777419266033,1777419266337,393,304,89
26,1777419265944,1777419266033,1777419266404,460,371,89
27,1777419265944,1777419266099,1777419266473,529,374,155
28,1777419265944,1777419266099,1777419266541,597,442,155
29,1777419265944,1777419266165,1777419266609,665,444,221
30,1777419265944,1777419266165,1777419266678,734,513,221
31,1777419265944,1777419266165,1777419266746,802,581,221
32,1777419265944,1777419266165,1777419266815,871,650,221
33,1777419265944,1777419266515,1777419266884,940,369,571
34,1777419265944,1777419266635,1777419266952,1008,317,691
35,1777419265944,1777419266766,1777419267020,1076,254,822
36,1777419265944,1777419266799,1777419267087,1143,288,855
37,1777419265944,1777419266832,1777419267155,1211,323,888
38,1777419266851,1777419266929,1777419267225,374,296,78
39,1777419266851,1777419267029,1777419267291,440,262,178
40,1777419266851,1777419267109,1777419267358,507,249,258
41,1777419266851,1777419267109,1777419267426,575,317,258
42,1777419266851,1777419267134,1777419267494,643,360,283
43,1777419266851,1777419267167,1777419267562,711,395,316
44,1777419266851,1777419267374,1777419267630,779,256,523
45,1777419266851,1777419267374,1777419267698,847,324,523
46,1777419266851,1777419267468,1777419267766,915,298,617
47,1777419266851,1777419267597,1777419267835,984,238,746
48,1777419266851,1777419267736,1777419267902,1051,166,885
49,1777419266851,1777419267836,1777419267968,1117,132,985
50,1777419266851,1777419267935,1777419268036,1185,101,1084
51,1777419266851,1777419267967,1777419268103,1252,136,1116
52,1777419268001,1777419267967,1777419268170,169,203,34
53,1777419268039,1777419268001,1777419268237,198,236,38
54,1777419268039,1777419268001,1777419268302,263,301,38
55,1777419268066,1777419268104,1777419268370,304,266,38
56,1777419268091,1777419268162,1777419268437,346,275,71
57,1777419268116,1777419268232,1777419268504,388,272,116
58,1777419268148,1777419268334,1777419268571,423,237,186
59,1777419268148,1777419268401,1777419268636,488,235,253
60,1777419268148,1777419268433,1777419268703,555,270,285
61,1777419268148,1777419268467,1777419268770,622,303,319
62,1777419268148,1777419268567,1777419268838,690,271,419
63,1777419268148,1777419268631,1777419268904,756,273,483
64,1777419268148,1777419268631,1777419268971,823,340,483
65,1777419268148,1777419268766,1777419269039,891,273,618
66,1777419268148,1777419268799,1777419269106,958,307,651
67,1777419268148,1777419268966,1777419269174,1026,208,818
68,1777419268948,1777419268999,1777419269241,293,242,51
69,1777419268975,1777419268999,1777419269308,333,309,24
70,1777419269031,1777419269136,1777419269376,345,240,105
71,1777419269031,1777419269196,1777419269444,413,248,165
72,1777419269031,1777419269268,1777419269511,480,243,237
73,1777419269264,1777419269333,1777419269579,315,246,69
74,1777419269294,1777419269366,1777419269645,351,279,72
75,1777419269326,1777419269433,1777419269711,385,278,107
76,1777419269326,1777419269499,1777419269777,451,278,173
77,1777419269326,1777419269530,1777419269843,517,313,204
78,1777419269326,1777419269530,1777419269911,585,381,204
79,1777419269721,1777419269696,1777419269978,257,282,25
80,1777419269721,1777419269767,1777419270043,322,276,46
81,1777419269806,1777419269865,1777419270110,304,245,59
82,1777419269832,1777419269966,1777419270178,346,212,134
83,1777419269899,1777419269997,1777419270244,345,247,98
84,1777419270042,1777419270096,1777419270311,269,215,54
85,1777419270117,1777419270168,1777419270377,260,209,51
86,1777419270117,1777419270168,1777419270443,326,275,51
87,1777419270174,1777419270199,1777419270509,335,310,25
88,1777419270230,1777419270367,1777419270576,346,209,137
89,1777419270230,1777419270400,1777419270641,411,241,170
90,1777419270292,1777419270433,1777419270707,415,274,141
91,1777419270451,1777419270496,1777419270775,324,279,45
92,1777419270488,1777419270563,1777419270840,352,277,75
93,1777419270605,1777419270700,1777419270906,301,206,95
94,1777419270605,1777419270733,1777419270972,367,239,128
95,1777419270605,1777419270733,1777419271038,433,305,128
96,1777419270605,1777419270798,1777419271106,501,308,193
97,1777419270605,1777419270863,1777419271173,568,310,258
98,1777419270835,1777419270947,1777419271241,406,294,112
99,1777419270835,1777419270947,1777419271309,474,362,112
100,1777419270909,1777419271033,1777419271378,469,345,124
101,1777419271039,1777419271098,1777419271444,405,346,59
102,1777419271039,1777419271196,1777419271513,474,317,157
103,1777419271039,1777419271196,1777419271579,540,383,157
104,1777419271039,1777419271233,1777419271647,608,414,194
105,1777419271039,1777419271268,1777419271717,678,449,229
106,1777419271039,1777419271268,1777419271784,745,516,229
107,1777419271039,1777419271563,1777419271853,814,290,524
108,1777419271039,1777419271595,1777419271921,882,326,556
109,1777419271039,1777419271629,1777419271989,950,360,590
110,1777419271598,1777419271765,1777419272057,459,292,167
111,1777419271598,1777419271765,1777419272125,527,360,167
112,1777419271598,1777419271898,1777419272191,593,293,300
113,1777419271598,1777419271898,1777419272260,662,362,300
114,1777419271598,1777419271965,1777419272329,731,364,367
115,1777419271598,1777419272100,1777419272396,798,296,502
116,1777419271598,1777419272164,1777419272464,866,300,566
117,1777419272037,1777419272197,1777419272531,494,334,160
118,1777419272037,1777419272231,1777419272598,561,367,194
119,1777419272037,1777419272264,1777419272666,629,402,227
120,1777419272037,1777419272463,1777419272734,697,271,426
121,1777419272037,1777419272497,1777419272801,764,304,460
122,1777419272037,1777419272529,1777419272870,833,341,492
123,1777419272037,1777419272595,1777419272937,900,342,558
124,1777419272622,1777419272699,1777419273003,381,304,77
125,1777419272646,1777419272799,1777419273071,425,272,153
126,1777419272646,1777419272838,1777419273139,493,301,192
127,1777419272751,1777419272899,1777419273208,457,309,148
128,1777419272751,1777419272899,1777419273277,526,378,148
129,1777419272751,1777419272964,1777419273345,594,381,213
130,1777419272751,1777419272997,1777419273413,662,416,246
131,1777419272751,1777419272997,1777419273481,730,484,246
132,1777419272751,1777419272997,1777419273549,798,552,246
133,1777419272751,1777419273028,1777419273618,867,590,277
134,1777419272751,1777419273028,1777419273687,936,659,277
135,1777419272751,1777419273028,1777419273756,1005,728,277
136,1777419272751,1777419273028,1777419273826,1075,798,277
137,1777419272751,1777419273028,1777419273896,1145,868,277
138,1777419272751,1777419273232,1777419273965,1214,733,481
139,1777419272751,1777419273232,1777419274035,1284,803,481
140,1777419272751,1777419273232,1777419274104,1353,872,481
141,1777419272751,1777419273232,1777419274174,1423,942,481
142,1777419272751,1777419273363,1777419274242,1491,879,612
143,1777419272751,1777419273363,1777419274310,1559,947,612
144,1777419272751,1777419273363,1777419274379,1628,1016,612
145,1777419272751,1777419273896,1777419274447,1696,551,1145
146,1777419272751,1777419274096,1777419274517,1766,421,1345
147,1777419272751,1777419274133,1777419274585,1834,452,1382
