frame_index,cam_0_ts_ms,cam_1_ts_ms,cam_2_ts_ms,cam_3_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,latency_2_ms,latency_3_ms,sync_error_ms
0,1777425361321,1777425360707,1777425361337,1777425361625,1777425362038,717,1331,701,413,918
1,1777425361321,1777425360707,1777425361439,1777425361858,1777425362277,956,1570,838,419,1151
2,1777425361321,1777425360707,1777425361439,1777425361892,1777425362360,1039,1653,921,468,1185
3,1777425361321,1777425360707,1777425361439,1777425361926,1777425362446,1125,1739,1007,520,1219
4,1777425361321,1777425360707,1777425361649,1777425362026,1777425362532,1211,1825,883,506,1319
5,1777425361321,1777425360707,1777425361649,1777425362059,1777425362620,1299,1913,971,561,1352
6,1777425361321,1777425360707,1777425361784,1777425362059,1777425362701,1380,1994,917,642,1352
7,1777425361321,1777425360707,1777425361784,1777425362128,1777425362782,1461,2075,998,654,1421
8,1777425361321,1777425360707,1777425361784,1777425362128,1777425362864,1543,2157,1080,736,1421
9,1777425361321,1777425360707,1777425361784,1777425362128,1777425362945,1624,2238,1161,817,1421
10,1777425361321,1777425360707,1777425361784,1777425362149,1777425363026,1705,2319,1242,877,1442
11,1777425361321,1777425360707,1777425361784,1777425362188,1777425363107,1786,2400,1323,919,1481
12,1777425361321,1777425360707,1777425361784,1777425362188,1777425363189,1868,2482,1405,1001,1481
13,1777425361321,1777425360707,1777425362601,1777425362515,1777425363271,1950,2564,670,756,1894
14,1777425361321,1777425360707,1777425362601,1777425362591,1777425363352,2031,2645,751,761,1894
15,1777425361321,1777425360707,1777425362642,1777425362591,1777425363433,2112,2726,791,842,1935
16,1777425361321,1777425360707,1777425362703,1777425362591,1777425363515,2194,2808,812,924,1996
17,1777425361321,1777425360707,1777425362703,1777425362591,1777425363595,2274,2888,892,1004,1996
18,1777425361321,1777425360707,1777425363137,1777425363226,1777425363676,2355,2969,539,450,2519
19,1777425361321,1777425360707,1777425363137,1777425363348,1777425363758,2437,3051,621,410,2641
20,1777425361321,1777425360707,1777425363205,1777425363423,1777425363839,2518,3132,634,416,2716
21,1777425361321,1777425363066,1777425363230,1777425363492,1777425363920,2599,854,690,428,2171
22,1777425361321,1777425363066,1777425363230,1777425363492,1777425364001,2680,935,771,509,2171
23,1777425361321,1777425363066,1777425363268,1777425363533,1777425364083,2762,1017,815,550,2212
24,1777425361321,1777425363066,1777425363268,1777425363687,1777425364164,2843,1098,896,477,2366
25,1777425361321,1777425363066,1777425363366,1777425363721,1777425364245,2924,1179,879,524,2400
26,1777425361321,1777425363066,1777425363366,1777425363791,1777425364326,3005,1260,960,535,2470
27,1777425361321,1777425363066,1777425363366,1777425363824,1777425364407,3086,1341,1041,583,2503
28,1777425361321,1777425363066,1777425363366,1777425363925,1777425364489,3168,1423,1123,564,2604
29,1777425361321,1777425363066,1777425363966,1777425363925,1777425364570,3249,1504,604,645,2645
30,1777425361321,1777425363066,1777425363966,1777425363925,1777425364651,3330,1585,685,726,2645
31,1777425361321,1777425363066,1777425364033,1777425364326,1777425364732,3411,1666,699,406,3005
32,1777425361321,1777425363066,1777425364101,1777425364393,1777425364812,3491,1746,711,419,3072
33,1777425361321,1777425363066,1777425364132,1777425364490,1777425364894,3573,1828,762,404,3169
34,1777425361321,1777425363066,1777425364168,1777425364524,1777425364975,3654,1909,807,451,3203
35,1777425361321,1777425363066,1777425364168,1777425364625,1777425365057,3736,1991,889,432,3304
36,1777425361321,1777425363066,1777425364168,1777425364726,1777425365138,3817,2072,970,412,3405
37,1777425361321,1777425363066,1777425364168,1777425364814,1777425365219,3898,2153,1051,405,3493
38,1777425361321,1777425363066,1777425364168,1777425364891,1777425365301,3980,2235,1133,410,3570
39,1777425361321,1777425363066,1777425364639,1777425364965,1777425365382,4061,2316,743,417,3644
40,1777425361321,1777425363066,1777425364735,1777425365059,1777425365463,4142,2397,728,404,3738
41,1777425361321,1777425363066,1777425364735,1777425365059,1777425365544,4223,2478,809,485,3738
42,1777425361321,1777425363066,1777425364735,1777425365080,1777425365624,4303,2558,889,544,3759
43,1777425361321,1777425363066,1777425365171,1777425365157,1777425365706,4385,2640,535,549,3850
44,1777425361321,1777425363066,1777425365202,1777425365157,1777425365787,4466,2721,585,630,3881
45,1777425361321,1777425363066,1777425365365,1777425365157,1777425365868,4547,2802,503,711,4044
46,1777425361321,1777425363066,1777425365441,1777425365157,1777425365949,4628,2883,508,792,4120
47,1777425361321,1777425363066,1777425365496,1777425365199,1777425366030,4709,2964,534,831,4175
48,1777425361321,1777425363066,1777425365532,1777425365199,1777425366112,4791,3046,580,913,4211
49,1777425361321,1777425363066,1777425365580,1777425365213,1777425366193,4872,3127,613,980,4259
50,1777425361321,1777425363066,1777425365728,1777425365256,1777425366274,4953,3208,546,1018,4407
51,1777425365602,1777425363066,1777425365797,1777425365281,1777425366355,753,3289,558,1074,2731
52,1777425365602,1777425363066,1777425365797,1777425365358,1777425366435,833,3369,638,1077,2731
53,1777425365602,1777425363066,1777425365797,1777425365358,1777425366515,913,3449,718,1157,2731
54,1777425365602,1777425363066,1777425365797,1777425365358,1777425366596,994,3530,799,1238,2731
55,1777425365602,1777425363066,1777425366069,1777425365358,1777425366676,1074,3610,607,1318,3003
56,1777425365602,1777425363066,1777425366192,1777425365358,1777425366758,1156,3692,566,1400,3126
57,1777425365602,1777425363066,1777425366434,1777425365525,1777425366839,1237,3773,405,1314,3368
58,1777425366204,1777425363066,1777425366434,1777425365553,1777425366921,717,3855,487,1368,3368
59,1777425366204,1777425363066,1777425366434,1777425365553,1777425367001,797,3935,567,1448,3368
60,1777425366517,1777425363066,1777425366434,1777425365553,1777425367082,565,4016,648,1529,3451
61,1777425366517,1777425363066,1777425366434,1777425365553,1777425367162,645,4096,728,1609,3451
62,1777425366534,1777425363066,1777425366508,1777425366424,1777425367244,710,4178,736,820,3468
63,1777425366534,1777425363066,1777425366563,1777425366424,1777425367325,791,4259,762,901,3497
64,1777425366534,1777425363066,1777425366697,1777425366424,1777425367406,872,4340,709,982,3631
65,1777425366534,1777425363066,1777425366697,1777425366624,1777425367486,952,4420,789,862,3631
66,1777425366534,1777425363066,1777425366697,1777425366890,1777425367567,1033,4501,870,677,3824
67,1777425366534,1777425363066,1777425366697,1777425366959,1777425367649,1115,4583,952,690,3893
68,1777425366534,1777425363066,1777425366697,1777425366959,1777425367730,1196,4664,1033,771,3893
69,1777425366534,1777425363066,1777425366697,1777425366959,1777425367810,1276,4744,1113,851,3893
70,1777425366534,1777425363066,1777425367408,1777425366959,1777425367891,1357,4825,483,932,4342
71,1777425366534,1777425363066,1777425367408,1777425366959,1777425367972,1438,4906,564,1013,4342
72,1777425366534,1777425363066,1777425367565,1777425366959,1777425368054,1520,4988,489,1095,4499
73,1777425366534,1777425363066,1777425367565,1777425366959,1777425368136,1602,5070,571,1177,4499
74,1777425366534,1777425363066,1777425367699,1777425366959,1777425368217,1683,5151,518,1258,4633
75,1777425366534,1777425363066,1777425367699,1777425366959,1777425368299,1765,5233,600,1340,4633
76,1777425366534,1777425363066,1777425367929,1777425366959,1777425368381,1847,5315,452,1422,4863
77,1777425366534,1777425363066,1777425367929,1777425366959,1777425368462,1928,5396,533,1503,4863
78,1777425366534,1777425363066,1777425367929,1777425366959,1777425368542,2008,5476,613,1583,4863
79,1777425366534,1777425363066,1777425368198,1777425366959,1777425368623,2089,5557,425,1664,5132
80,1777425366534,1777425363066,1777425368198,1777425366959,1777425368704,2170,5638,506,1745,5132
81,1777425366534,1777425363066,1777425368198,1777425366959,1777425368787,2253,5721,589,1828,5132
82,1777425366534,1777425363066,1777425368433,1777425366959,1777425368869,2335,5803,436,1910,5367
83,1777425366534,1777425363066,1777425368433,1777425366959,1777425368951,2417,5885,518,1992,5367
84,1777425366534,1777425363066,1777425368433,1777425366959,1777425369033,2499,5967,600,2074,5367
85,1777425366534,1777425363066,1777425368699,1777425366959,1777425369115,2581,6049,416,2156,5633
86,1777425366534,1777425363066,1777425368699,1777425366959,1777425369197,2663,6131,498,2238,5633
87,1777425366534,1777425363066,1777425368699,1777425366959,1777425369279,2745,6213,580,2320,5633
88,1777425366534,1777425363066,1777425368931,1777425366959,1777425369361,2827,6295,430,2402,5865
89,1777425366534,1777425363066,1777425368931,1777425366959,1777425369443,2909,6377,512,2484,5865
90,1777425366534,1777425363066,1777425368931,1777425366959,1777425369524,2990,6458,593,2565,5865
91,1777425366534,1777425363066,1777425369199,1777425366959,1777425369606,3072,6540,407,2647,6133
92,1777425366534,1777425363066,1777425369199,1777425366959,1777425369688,3154,6622,489,2729,6133
93,1777425366534,1777425363066,1777425369199,1777425366959,1777425369771,3237,6705,572,2812,6133
94,1777425369426,1777425368046,1777425369367,1777425366959,1777425369852,426,1806,485,2893,2467
95,1777425369426,1777425368046,1777425369438,1777425366959,1777425369933,507,1887,495,2974,2479
96,1777425369491,1777425368046,1777425369507,1777425366959,1777425370013,522,1967,506,3054,2548
97,1777425369524,1777425368046,1777425369568,1777425366959,1777425370095,571,2049,527,3136,2609
98,1777425369524,1777425368046,1777425369724,1777425366959,1777425370175,651,2129,451,3216,2765
99,1777425369524,1777425368046,1777425369799,1777425366959,1777425370255,731,2209,456,3296,2840
100,1777425369850,1777425368046,1777425369899,1777425366959,1777425370336,486,2290,437,3377,2940
101,1777425370001,1777425368046,1777425369965,1777425366959,1777425370417,416,2371,452,3458,3042
102,1777425370001,1777425368046,1777425370027,1777425366959,1777425370497,496,2451,470,3538,3068
103,1777425370139,1777425368046,1777425370138,1777425366959,1777425370576,437,2530,438,3617,3180
104,1777425370156,1777425368046,1777425370198,1777425366959,1777425370656,500,2610,458,3697,3239
105,1777425370251,1777425368046,1777425370266,1777425366959,1777425370735,484,2689,469,3776,3307
106,1777425370291,1777425368046,1777425370400,1777425366959,1777425370815,524,2769,415,3856,3441
107,1777425370369,1777425368046,1777425370432,1777425366959,1777425370895,526,2849,463,3936,3473
108,1777425370369,1777425368046,1777425370498,1777425366959,1777425370976,607,2930,478,4017,3539
109,1777425370523,1777425368046,1777425370594,1777425366959,1777425371057,534,3011,463,4098,3635
110,1777425370565,1777425368046,1777425370695,1777425366959,1777425371138,573,3092,443,4179,3736
111,1777425370565,1777425368046,1777425370733,1777425366959,1777425371218,653,3172,485,4259,3774
112,1777425370565,1777425368046,1777425370797,1777425366959,1777425371299,734,3253,502,4340,3838
113,1777425370565,1777425368046,1777425370929,1777425366959,1777425371379,814,3333,450,4420,3970
114,1777425370815,1777425368046,1777425371032,1777425366959,1777425371461,646,3415,429,4502,4073
115,1777425371028,1777425368046,1777425371032,1777425366959,1777425371542,514,3496,510,4583,4073
116,1777425371132,1777425368046,1777425371095,1777425366959,1777425371622,490,3576,527,4663,4173
117,1777425371157,1777425368046,1777425371196,1777425366959,1777425371703,546,3657,507,4744,4237
118,1777425371172,1777425368046,1777425371231,1777425366959,1777425371784,612,3738,553,4825,4272
119,1777425371272,1777425368046,1777425371291,1777425366959,1777425371865,593,3819,574,4906,4332
120,1777425371272,1777425368046,1777425371392,1777425366959,1777425371945,673,3899,553,4986,4433
121,1777425371294,1777425368046,1777425371461,1777425366959,1777425372026,732,3980,565,5067,4502
122,1777425371294,1777425368046,1777425371699,1777425366959,1777425372107,813,4061,408,5148,4740
123,1777425371294,1777425368046,1777425371699,1777425366959,1777425372188,894,4142,489,5229,4740
124,1777425371294,1777425368046,1777425371832,1777425366959,1777425372270,976,4224,438,5311,4873
