frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1777419512201,1777419512213,1777419512481,280,268,12
1,1777419512259,1777419512246,1777419512664,405,418,13
2,1777419512259,1777419512311,1777419512731,472,420,52
3,1777419512279,1777419512346,1777419512800,521,454,67
4,1777419512279,1777419512379,1777419512869,590,490,100
5,1777419512279,1777419512379,1777419512935,656,556,100
6,1777419512279,1777419512379,1777419513010,731,631,100
7,1777419512279,1777419512379,1777419513081,802,702,100
8,1777419512279,1777419512379,1777419513150,871,771,100
9,1777419512279,1777419512677,1777419513219,940,542,398
10,1777419512279,1777419512677,1777419513289,1010,612,398
11,1777419512279,1777419512710,1777419513358,1079,648,431
12,1777419512279,1777419512744,1777419513428,1149,684,465
13,1777419512279,1777419512744,1777419513497,1218,753,465
14,1777419512279,1777419512744,1777419513567,1288,823,465
15,1777419512279,1777419512744,1777419513636,1357,892,465
16,1777419512279,1777419513311,1777419513705,1426,394,1032
17,1777419512279,1777419513376,1777419513773,1494,397,1097
18,1777419512279,1777419513408,1777419513842,1563,434,1129
19,1777419512279,1777419513408,1777419513911,1632,503,1129
20,1777419512279,1777419513507,1777419513979,1700,472,1228
21,1777419512279,1777419513507,1777419514048,1769,541,1228
22,1777419512279,1777419513709,1777419514116,1837,407,1430
23,1777419512279,1777419513709,1777419514184,1905,475,1430
24,1777419512279,1777419513742,1777419514253,1974,511,1463
25,1777419512279,1777419513780,1777419514321,2042,541,1501
26,1777419512279,1777419513850,1777419514390,2111,540,1571
27,1777419512279,1777419514007,1777419514458,2179,451,1728
28,1777419512279,1777419514007,1777419514527,2248,520,1728
29,1777419512279,1777419514079,1777419514596,2317,517,1800
30,1777419512279,1777419514079,1777419514664,2385,585,1800
31,1777419512279,1777419514079,1777419514733,2454,654,1800
32,1777419512279,1777419514079,1777419514803,2524,724,1800
33,1777419512279,1777419514079,1777419514872,2593,793,1800
34,1777419512279,1777419514511,1777419514941,2662,430,2232
35,1777419512279,1777419514544,1777419515010,2731,466,2265
36,1777419512279,1777419514610,1777419515079,2800,469,2331
37,1777419512279,1777419514743,1777419515148,2869,405,2464
38,1777419512279,1777419514743,1777419515216,2937,473,2464
39,1777419512279,1777419514875,1777419515284,3005,409,2596
40,1777419512279,1777419514908,1777419515352,3073,444,2629
41,1777419514818,1777419514941,1777419515421,603,480,123
42,1777419514818,1777419514941,1777419515489,671,548,123
43,1777419514818,1777419514974,1777419515557,739,583,156
44,1777419514818,1777419514974,1777419515626,808,652,156
45,1777419514818,1777419514974,1777419515695,877,721,156
46,1777419514818,1777419514974,1777419515764,946,790,156
47,1777419514818,1777419515410,1777419515833,1015,423,592
48,1777419514818,1777419515443,1777419515902,1084,459,625
