frame_index,cam_0_ts_ms,cam_1_ts_ms,cam_2_ts_ms,cam_3_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,latency_2_ms,latency_3_ms,sync_error_ms
0,1777424293969,1777424299019,1777424300852,1777424301252,1777424301435,7466,2416,583,183,7283
1,1777424293969,1777424299019,1777424300888,1777424301555,1777424301670,7701,2651,782,115,7586
2,1777424293969,1777424299019,1777424300888,1777424301676,1777424301750,7781,2731,862,74,7707
3,1777424293969,1777424299019,1777424300955,1777424301717,1777424301834,7865,2815,879,117,7748
4,1777424293969,1777424299019,1777424300987,1777424301786,1777424301920,7951,2901,933,134,7817
5,1777424293969,1777424299019,1777424300987,1777424301920,1777424302005,8036,2986,1018,85,7951
6,1777424293969,1777424299019,1777424300987,1777424302055,1777424302088,8119,3069,1101,33,8086
7,1777424293969,1777424299019,1777424300987,1777424302076,1777424302169,8200,3150,1182,93,8107
8,1777424293969,1777424299019,1777424300987,1777424302187,1777424302250,8281,3231,1263,63,8218
9,1777424293969,1777424299019,1777424301587,1777424302254,1777424302330,8361,3311,743,76,8285
10,1777424293969,1777424299019,1777424301587,1777424302316,1777424302411,8442,3392,824,95,8347
11,1777424293969,1777424299019,1777424301587,1777424302316,1777424302492,8523,3473,905,176,8347
12,1777424293969,1777424299019,1777424301587,1777424302316,1777424302573,8604,3554,986,257,8347
13,1777424293969,1777424299019,1777424301983,1777424302385,1777424302653,8684,3634,670,268,8416
14,1777424293969,1777424299019,1777424301983,1777424302488,1777424302734,8765,3715,751,246,8519
15,1777424302033,1777424299019,1777424301983,1777424302609,1777424302816,783,3797,833,207,3590
16,1777424302033,1777424299019,1777424301983,1777424302748,1777424302897,864,3878,914,149,3729
17,1777424302033,1777424299019,1777424301983,1777424302748,1777424302977,944,3958,994,229,3729
18,1777424302033,1777424299019,1777424301983,1777424302816,1777424303057,1024,4038,1074,241,3797
19,1777424302033,1777424299019,1777424302456,1777424302919,1777424303139,1106,4120,683,220,3900
20,1777424302033,1777424299019,1777424302456,1777424303084,1777424303220,1187,4201,764,136,4065
21,1777424302033,1777424299019,1777424302456,1777424303250,1777424303300,1267,4281,844,50,4231
22,1777424302033,1777424299019,1777424302456,1777424303285,1777424303380,1347,4361,924,95,4266
23,1777424302033,1777424299019,1777424302456,1777424303419,1777424303460,1427,4441,1004,41,4400
24,1777424302033,1777424299019,1777424303019,1777424303419,1777424303542,1509,4523,523,123,4400
25,1777424302033,1777424299019,1777424303019,1777424303509,1777424303623,1590,4604,604,114,4490
26,1777424302033,1777424299019,1777424303085,1777424303618,1777424303704,1671,4685,619,86,4599
27,1777424302033,1777424299019,1777424303160,1777424303720,1777424303784,1751,4765,624,64,4701
28,1777424302033,1777424299019,1777424303227,1777424303787,1777424303864,1831,4845,637,77,4768
29,1777424302033,1777424299019,1777424303227,1777424303886,1777424303945,1912,4926,718,59,4867
30,1777424303236,1777424299019,1777424303353,1777424303975,1777424304027,791,5008,674,52,4956
31,1777424303236,1777424299019,1777424303353,1777424304042,1777424304107,871,5088,754,65,5023
32,1777424303236,1777424299019,1777424303353,1777424304119,1777424304187,951,5168,834,68,5100
33,1777424303236,1777424299019,1777424303353,1777424304119,1777424304268,1032,5249,915,149,5100
34,1777424303236,1777424299019,1777424303353,1777424304281,1777424304350,1114,5331,997,69,5262
35,1777424303236,1777424299019,1777424303353,1777424304342,1777424304430,1194,5411,1077,88,5323
