frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1777419852846,1777419852630,1777419852946,100,316,216
1,1777419852977,1777419852727,1777419853097,120,370,250
2,1777419852977,1777419852829,1777419853151,174,322,148
3,1777419853088,1777419852862,1777419853211,123,349,226
4,1777419853170,1777419852895,1777419853266,96,371,275
5,1777419853211,1777419852928,1777419853321,110,393,283
6,1777419853246,1777419852928,1777419853376,130,448,318
7,1777419853281,1777419852961,1777419853439,158,478,320
8,1777419853378,1777419852961,1777419853495,117,534,417
9,1777419853448,1777419852961,1777419853551,103,590,487
10,1777419853448,1777419853032,1777419853610,162,578,416
11,1777419853577,1777419853076,1777419853667,90,591,501
12,1777419853577,1777419853128,1777419853723,146,595,449
13,1777419853577,1777419853128,1777419853779,202,651,449
14,1777419853669,1777419853128,1777419853838,169,710,541
15,1777419853745,1777419853198,1777419853896,151,698,547
16,1777419853781,1777419853262,1777419853953,172,691,519
17,1777419853881,1777419853328,1777419854010,129,682,553
18,1777419853946,1777419853328,1777419854065,119,737,618
19,1777419853946,1777419853328,1777419854121,175,793,618
20,1777419854047,1777419853328,1777419854179,132,851,719
21,1777419854115,1777419853460,1777419854237,122,777,655
22,1777419854115,1777419853596,1777419854294,179,698,519
23,1777419854181,1777419853596,1777419854351,170,755,585
24,1777419854277,1777419853596,1777419854408,131,812,681
25,1777419854277,1777419853596,1777419854465,188,869,681
26,1777419854343,1777419853596,1777419854522,179,926,747
27,1777419854479,1777419853692,1777419854581,102,889,787
28,1777419854538,1777419853692,1777419854637,99,945,846
29,1777419854615,1777419853692,1777419854692,77,1000,923
30,1777419854615,1777419853692,1777419854748,133,1056,923
31,1777419854715,1777419853692,1777419854806,91,1114,1023
32,1777419854736,1777419853692,1777419854863,127,1171,1044
33,1777419854814,1777419853862,1777419854920,106,1058,952
34,1777419854814,1777419853862,1777419854978,164,1116,952
35,1777419854814,1777419853998,1777419855036,222,1038,816
36,1777419854982,1777419853998,1777419855094,112,1096,984
37,1777419854982,1777419854062,1777419855150,168,1088,920
38,1777419855102,1777419854524,1777419855206,104,682,578
39,1777419855144,1777419854524,1777419855261,117,737,620
40,1777419855179,1777419854627,1777419855319,140,692,552
41,1777419855213,1777419854627,1777419855376,163,749,586
42,1777419855302,1777419854627,1777419855434,132,807,675
43,1777419855412,1777419854959,1777419855491,79,532,453
44,1777419855446,1777419854959,1777419855548,102,589,487
45,1777419855513,1777419855063,1777419855605,92,542,450
46,1777419855513,1777419855131,1777419855662,149,531,382
47,1777419855598,1777419855197,1777419855719,121,522,401
48,1777419855644,1777419855263,1777419855775,131,512,381
49,1777419855712,1777419855295,1777419855830,118,535,417
50,1777419855802,1777419855295,1777419855887,85,592,507
51,1777419855802,1777419855295,1777419855943,141,648,507
52,1777419855910,1777419855295,1777419856001,91,706,615
53,1777419855943,1777419855327,1777419856059,116,732,616
54,1777419856047,1777419855327,1777419856116,69,789,720
55,1777419856047,1777419855596,1777419856172,125,576,451
56,1777419856110,1777419855630,1777419856229,119,599,480
57,1777419856110,1777419855663,1777419856285,175,622,447
58,1777419856142,1777419855729,1777419856342,200,613,413
59,1777419856211,1777419855729,1777419856399,188,670,482
60,1777419856279,1777419855860,1777419856457,178,597,419
61,1777419856279,1777419855893,1777419856513,234,620,386
62,1777419856320,1777419855927,1777419856569,249,642,393
63,1777419856468,1777419855927,1777419856626,158,699,541
64,1777419856577,1777419855927,1777419856682,105,755,650
65,1777419856646,1777419856298,1777419856736,90,438,348
66,1777419856701,1777419856298,1777419856791,90,493,403
67,1777419856701,1777419856330,1777419856846,145,516,371
68,1777419856776,1777419856330,1777419856903,127,573,446
69,1777419856843,1777419856492,1777419856959,116,467,351
70,1777419856910,1777419856492,1777419857014,104,522,418
71,1777419856979,1777419856492,1777419857069,90,577,487
72,1777419857001,1777419856531,1777419857126,125,595,470
73,1777419857076,1777419856531,1777419857183,107,652,545
74,1777419857143,1777419856625,1777419857240,97,615,518
75,1777419857143,1777419856702,1777419857297,154,595,441
76,1777419857247,1777419856793,1777419857352,105,559,454
77,1777419857247,1777419856793,1777419857406,159,613,454
78,1777419857247,1777419856827,1777419857462,215,635,420
79,1777419857247,1777419856827,1777419857519,272,692,420
80,1777419857443,1777419856827,1777419857578,135,751,616
81,1777419857543,1777419856827,1777419857637,94,810,716
82,1777419857543,1777419856991,1777419857694,151,703,552
83,1777419857578,1777419856991,1777419857749,171,758,587
84,1777419857645,1777419856991,1777419857805,160,814,654
85,1777419857777,1777419856991,1777419857862,85,871,786
86,1777419857811,1777419856991,1777419857918,107,927,820
87,1777419857845,1777419856991,1777419857975,130,984,854
88,1777419857879,1777419856991,1777419858032,153,1041,888
89,1777419857975,1777419856991,1777419858091,116,1100,984
90,1777419858044,1777419857394,1777419858149,105,755,650
91,1777419858078,1777419857527,1777419858206,128,679,551
92,1777419858112,1777419857762,1777419858262,150,500,350
93,1777419858135,1777419857762,1777419858317,182,555,373
94,1777419858135,1777419858093,1777419858373,238,280,42
95,1777419858209,1777419858126,1777419858428,219,302,83
96,1777419858412,1777419858158,1777419858483,71,325,254
97,1777419858412,1777419858226,1777419858538,126,312,186
98,1777419858476,1777419858326,1777419858594,118,268,150
99,1777419858476,1777419858326,1777419858649,173,323,150
100,1777419858567,1777419858360,1777419858705,138,345,207
101,1777419858677,1777419858393,1777419858762,85,369,284
102,1777419858677,1777419858393,1777419858819,142,426,284
103,1777419858744,1777419858459,1777419858877,133,418,285
104,1777419858779,1777419858493,1777419858933,154,440,286
105,1777419858808,1777419858557,1777419858990,182,433,251
106,1777419858842,1777419858595,1777419859046,204,451,247
107,1777419858939,1777419858694,1777419859103,164,409,245
108,1777419858974,1777419858694,1777419859160,186,466,280
109,1777419859007,1777419858793,1777419859216,209,423,214
110,1777419859007,1777419858793,1777419859271,264,478,214
111,1777419859112,1777419858825,1777419859328,216,503,287
112,1777419859134,1777419858928,1777419859384,250,456,206
