frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1776809105120,1776809105149,1776809106161,1041,1012,29
1,1776809105301,1776809105315,1776809106323,1022,1008,14
2,1776809105393,1776809105388,1776809106399,1006,1011,5
3,1776809105470,1776809105457,1776809106472,1002,1015,13
4,1776809105504,1776809105530,1776809106540,1036,1010,26
5,1776809105600,1776809105608,1776809106609,1009,1001,8
6,1776809105674,1776809105680,1776809106686,1012,1006,6
7,1776809105734,1776809105734,1776809106758,1024,1024,0
8,1776809105807,1776809105773,1776809106826,1019,1053,34
9,1776809105872,1776809105860,1776809106895,1023,1035,12
10,1776809105939,1776809105908,1776809106963,1024,1055,31
11,1776809106005,1776809105975,1776809107031,1026,1056,30
12,1776809106072,1776809106054,1776809107097,1025,1043,18
13,1776809106104,1776809106110,1776809107163,1059,1053,6
14,1776809106206,1776809106173,1776809107235,1029,1062,33
15,1776809106277,1776809106296,1776809107304,1027,1008,19
16,1776809106341,1776809106296,1776809107371,1030,1075,45
17,1776809106436,1776809106436,1776809107437,1001,1001,0
18,1776809106474,1776809106489,1776809107503,1029,1014,15
19,1776809106507,1776809106489,1776809107569,1062,1080,18
20,1776809106570,1776809106570,1776809107634,1064,1064,0
21,1776809106661,1776809106699,1776809107700,1039,1001,38
22,1776809106738,1776809106753,1776809107768,1030,1015,15
23,1776809106801,1776809106832,1776809107833,1032,1001,31
24,1776809106874,1776809106899,1776809107899,1025,1000,25
25,1776809106938,1776809106952,1776809107965,1027,1013,14
26,1776809106971,1776809106952,1776809108031,1060,1079,19
27,1776809107075,1776809107088,1776809108096,1021,1008,13
28,1776809107139,1776809107088,1776809108163,1024,1075,51
29,1776809107194,1776809107179,1776809108230,1036,1051,15
30,1776809107239,1776809107239,1776809108296,1057,1057,0
31,1776809107340,1776809107302,1776809108363,1023,1061,38
32,1776809107403,1776809107372,1776809108430,1027,1058,31
33,1776809107475,1776809107444,1776809108502,1027,1058,31
34,1776809107536,1776809107561,1776809108567,1031,1006,25
35,1776809107628,1776809107620,1776809108635,1007,1015,8
36,1776809107674,1776809107620,1776809108705,1031,1085,54
37,1776809107744,1776809107763,1776809108770,1026,1007,19
38,1776809107807,1776809107763,1776809108835,1028,1072,44
39,1776809107871,1776809107900,1776809108900,1029,1000,29
40,1776809107940,1776809107954,1776809108966,1026,1012,14
41,1776809107967,1776809107954,1776809109032,1065,1078,13
42,1776809108094,1776809108088,1776809109097,1003,1009,6
43,1776809108138,1776809108163,1776809109163,1025,1000,25
44,1776809108207,1776809108226,1776809109229,1022,1003,19
45,1776809108294,1776809108286,1776809109294,1000,1008,8
46,1776809108339,1776809108355,1776809109364,1025,1009,16
47,1776809108405,1776809108355,1776809109429,1024,1074,50
48,1776809108472,1776809108453,1776809109494,1022,1041,19
49,1776809108539,1776809108505,1776809109562,1023,1057,34
50,1776809108607,1776809108623,1776809109628,1021,1005,16
51,1776809108675,1776809108688,1776809109694,1019,1006,13
52,1776809108738,1776809108688,1776809109760,1022,1072,50
53,1776809108800,1776809108776,1776809109826,1026,1050,24
54,1776809108875,1776809108888,1776809109894,1019,1006,13
55,1776809108939,1776809108953,1776809109961,1022,1008,14
56,1776809108973,1776809108953,1776809110027,1054,1074,20
57,1776809109074,1776809109093,1776809110095,1021,1002,19
58,1776809109139,1776809109093,1776809110161,1022,1068,46
59,1776809109203,1776809109171,1776809110226,1023,1055,32
60,1776809109272,1776809109272,1776809110291,1019,1019,0
61,1776809109340,1776809109354,1776809110356,1016,1002,14
62,1776809109368,1776809109354,1776809110422,1054,1068,14
63,1776809109472,1776809109486,1776809110487,1015,1001,14
64,1776809109539,1776809109486,1776809110555,1016,1069,53
65,1776809109606,1776809109569,1776809110622,1016,1053,37
66,1776809109668,1776809109654,1776809110687,1019,1033,14
67,1776809109708,1776809109708,1776809110753,1045,1045,0
68,1776809109806,1776809109773,1776809110820,1014,1047,33
69,1776809109841,1776809109821,1776809110886,1045,1065,20
70,1776809109939,1776809109900,1776809110953,1014,1053,39
71,1776809110010,1776809109974,1776809111019,1009,1045,36
72,1776809110073,1776809110042,1776809111088,1015,1046,31
73,1776809110139,1776809110109,1776809111154,1015,1045,30
74,1776809110200,1776809110169,1776809111220,1020,1051,31
75,1776809110262,1776809110254,1776809111286,1024,1032,8
76,1776809110341,1776809110294,1776809111352,1011,1058,47
77,1776809110403,1776809110371,1776809111418,1015,1047,32
78,1776809110473,1776809110434,1776809111483,1010,1049,39
79,1776809110536,1776809110517,1776809111550,1014,1033,19
80,1776809110594,1776809110574,1776809111616,1022,1042,20
81,1776809110638,1776809110638,1776809111683,1045,1045,0
82,1776809110740,1776809110705,1776809111749,1009,1044,35
83,1776809110806,1776809110765,1776809111816,1010,1051,41
84,1776809110874,1776809110846,1776809111882,1008,1036,28
85,1776809110940,1776809110888,1776809111948,1008,1060,52
86,1776809111006,1776809110953,1776809112013,1007,1060,53
87,1776809111074,1776809111022,1776809112079,1005,1057,52
88,1776809111126,1776809111109,1776809112146,1020,1037,17
89,1776809111172,1776809111172,1776809112212,1040,1040,0
90,1776809111239,1776809111239,1776809112278,1039,1039,0
91,1776809111305,1776809111305,1776809112344,1039,1039,0
92,1776809111371,1776809111371,1776809112409,1038,1038,0
93,1776809111475,1776809111447,1776809112475,1000,1028,28
94,1776809111541,1776809111500,1776809112541,1000,1041,41
95,1776809111606,1776809111556,1776809112607,1001,1051,50
96,1776809111669,1776809111637,1776809112674,1005,1037,32
97,1776809111669,1776809111700,1776809112740,1071,1040,31
98,1776809111806,1776809111755,1776809112806,1000,1051,51
99,1776809111869,1776809111837,1776809112873,1004,1036,32
100,1776809111869,1776809111900,1776809112938,1069,1038,31
101,1776809111994,1776809111978,1776809113003,1009,1025,16
102,1776809112040,1776809112053,1776809113068,1028,1015,13
103,1776809112077,1776809112109,1776809113134,1057,1025,32
104,1776809112161,1776809112154,1776809113199,1038,1045,7
105,1776809112228,1776809112220,1776809113268,1040,1048,8
106,1776809112295,1776809112288,1776809113333,1038,1045,7
107,1776809112361,1776809112356,1776809113398,1037,1042,5
108,1776809112428,1776809112420,1776809113465,1037,1045,8
109,1776809112508,1776809112486,1776809113530,1022,1044,22
110,1776809112594,1776809112569,1776809113597,1003,1028,25
111,1776809112641,1776809112641,1776809113663,1022,1022,0
112,1776809112703,1776809112710,1776809113730,1027,1020,7
113,1776809112780,1776809112767,1776809113796,1016,1029,13
114,1776809112840,1776809112834,1776809113861,1021,1027,6
115,1776809112903,1776809112888,1776809113928,1025,1040,15
116,1776809112969,1776809112969,1776809113994,1025,1025,0
117,1776809113007,1776809113039,1776809114059,1052,1020,32
118,1776809113071,1776809113102,1776809114126,1055,1024,31
119,1776809113140,1776809113171,1776809114193,1053,1022,31
