frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1776808969258,1776808969291,1776808969310,52,19,33
1,1776808969472,1776808969446,1776808969491,19,45,26
2,1776808969541,1776808969541,1776808969567,26,26,0
3,1776808969607,1776808969595,1776808969639,32,44,12
4,1776808969677,1776808969683,1776808969708,31,25,6
5,1776808969709,1776808969716,1776808969774,65,58,7
6,1776808969801,1776808969812,1776808969856,55,44,11
7,1776808969905,1776808969892,1776808969926,21,34,13
8,1776808969946,1776808969965,1776808969997,51,32,19
9,1776808970012,1776808969965,1776808970063,51,98,47
10,1776808970070,1776808970051,1776808970130,60,79,19
11,1776808970111,1776808970111,1776808970197,86,86,0
12,1776808970200,1776808970173,1776808970264,64,91,27
13,1776808970279,1776808970237,1776808970331,52,94,42
14,1776808970331,1776808970316,1776808970397,66,81,15
15,1776808970444,1776808970438,1776808970464,20,26,6
16,1776808970480,1776808970493,1776808970531,51,38,13
17,1776808970546,1776808970559,1776808970598,52,39,13
18,1776808970611,1776808970559,1776808970664,53,105,52
19,1776808970667,1776808970653,1776808970733,66,80,14
20,1776808970718,1776808970718,1776808970800,82,82,0
21,1776808970777,1776808970790,1776808970865,88,75,13
22,1776808970846,1776808970846,1776808970934,88,88,0
23,1776808970909,1776808970915,1776808970999,90,84,6
24,1776808971042,1776808971042,1776808971066,24,24,0
25,1776808971080,1776808971099,1776808971132,52,33,19
26,1776808971145,1776808971164,1776808971198,53,34,19
27,1776808971212,1776808971227,1776808971263,51,36,15
28,1776808971244,1776808971227,1776808971329,85,102,17
29,1776808971308,1776808971377,1776808971395,87,18,69
30,1776808971412,1776808971425,1776808971462,50,37,13
31,1776808971445,1776808971425,1776808971530,85,105,20
32,1776808971511,1776808971511,1776808971596,85,85,0
33,1776808971606,1776808971577,1776808971662,56,85,29
34,1776808971644,1776808971650,1776808971729,85,79,6
35,1776808971775,1776808971711,1776808971796,21,85,64
36,1776808971811,1776808971775,1776808971862,51,87,36
37,1776808971874,1776808971843,1776808971928,54,85,31
