frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1776805026279,1776805026201,1776805026407,128,206,78
1,1776805026551,1776805026485,1776805026627,76,142,66
2,1776805026551,1776805026550,1776805026695,144,145,1
3,1776805026642,1776805026550,1776805026764,122,214,92
4,1776805026642,1776805026684,1776805026837,195,153,42
5,1776805026846,1776805026684,1776805026924,78,240,162
6,1776805026846,1776805026903,1776805027003,157,100,57
7,1776805026979,1776805026903,1776805027074,95,171,76
8,1776805026979,1776805027019,1776805027143,164,124,40
9,1776805027081,1776805027019,1776805027213,132,194,62
10,1776805027081,1776805027151,1776805027285,204,134,70
11,1776805027249,1776805027279,1776805027354,105,75,30
12,1776805027308,1776805027279,1776805027422,114,143,29
13,1776805027308,1776805027347,1776805027491,183,144,39
14,1776805027443,1776805027347,1776805027557,114,210,96
15,1776805027548,1776805027486,1776805027626,78,140,62
16,1776805027548,1776805027548,1776805027693,145,145,0
17,1776805027643,1776805027548,1776805027762,119,214,95
18,1776805027643,1776805027714,1776805027837,194,123,71
19,1776805027747,1776805027815,1776805027905,158,90,68
20,1776805027879,1776805027815,1776805027985,106,170,64
21,1776805027879,1776805027948,1776805028053,174,105,69
22,1776805028009,1776805027948,1776805028121,112,173,61
23,1776805028009,1776805028084,1776805028188,179,104,75
24,1776805028142,1776805028084,1776805028262,120,178,58
25,1776805028248,1776805028149,1776805028330,82,181,99
26,1776805028248,1776805028222,1776805028397,149,175,26
27,1776805028343,1776805028222,1776805028463,120,241,121
28,1776805028343,1776805028222,1776805028530,187,308,121
29,1776805028343,1776805028416,1776805028597,254,181,73
30,1776805028542,1776805028416,1776805028665,123,249,126
31,1776805028648,1776805028548,1776805028733,85,185,100
32,1776805028648,1776805028682,1776805028801,153,119,34
33,1776805028742,1776805028682,1776805028870,128,188,60
34,1776805028874,1776805028815,1776805028937,63,122,59
35,1776805028874,1776805028907,1776805029010,136,103,33
36,1776805028979,1776805028907,1776805029077,98,170,72
37,1776805029080,1776805029013,1776805029143,63,130,67
38,1776805029080,1776805029081,1776805029209,129,128,1
39,1776805029178,1776805029081,1776805029276,98,195,97
40,1776805029246,1776805029217,1776805029343,97,126,29
41,1776805029246,1776805029280,1776805029410,164,130,34
42,1776805029347,1776805029280,1776805029478,131,198,67
43,1776805029347,1776805029280,1776805029545,198,265,67
44,1776805029347,1776805029420,1776805029616,269,196,73
45,1776805029511,1776805029550,1776805029686,175,136,39
46,1776805029647,1776805029550,1776805029753,106,203,97
47,1776805029647,1776805029550,1776805029820,173,270,97
48,1776805029647,1776805029746,1776805029887,240,141,99
49,1776805029816,1776805029746,1776805029954,138,208,70
50,1776805029816,1776805029882,1776805030020,204,138,66
51,1776805029973,1776805029882,1776805030088,115,206,91
52,1776805029973,1776805029882,1776805030157,184,275,91
53,1776805030149,1776805030016,1776805030225,76,209,133
54,1776805030149,1776805030016,1776805030293,144,277,133
55,1776805030281,1776805030149,1776805030360,79,211,132
56,1776805030281,1776805030149,1776805030426,145,277,132
57,1776805030281,1776805030280,1776805030494,213,214,1
58,1776805030416,1776805030480,1776805030563,147,83,64
59,1776805030548,1776805030480,1776805030630,82,150,68
60,1776805030644,1776805030549,1776805030698,54,149,95
61,1776805030644,1776805030615,1776805030764,120,149,29
62,1776805030644,1776805030615,1776805030830,186,215,29
63,1776805030748,1776805030814,1776805030897,149,83,66
64,1776805030748,1776805030814,1776805030963,215,149,66
65,1776805030880,1776805030814,1776805031031,151,217,66
66,1776805030880,1776805030949,1776805031100,220,151,69
67,1776805031017,1776805030949,1776805031171,154,222,68
68,1776805031017,1776805031081,1776805031241,224,160,64
69,1776805031179,1776805031081,1776805031317,138,236,98
70,1776805031342,1776805031212,1776805031385,43,173,130
71,1776805031342,1776805031212,1776805031452,110,240,130
72,1776805031342,1776805031348,1776805031519,177,171,6
73,1776805031449,1776805031486,1776805031588,139,102,37
74,1776805031541,1776805031486,1776805031654,113,168,55
75,1776805031541,1776805031615,1776805031722,181,107,74
76,1776805031675,1776805031615,1776805031789,114,174,60
77,1776805031779,1776805031750,1776805031857,78,107,29
78,1776805031779,1776805031750,1776805031924,145,174,29
79,1776805031779,1776805031815,1776805031992,213,177,36
80,1776805031915,1776805031957,1776805032063,148,106,42
81,1776805032010,1776805031957,1776805032131,121,174,53
82,1776805032010,1776805032081,1776805032199,189,118,71
83,1776805032143,1776805032081,1776805032267,124,186,62
84,1776805032143,1776805032148,1776805032338,195,190,5
85,1776805032278,1776805032280,1776805032407,129,127,2
86,1776805032381,1776805032280,1776805032475,94,195,101
87,1776805032381,1776805032427,1776805032542,161,115,46
88,1776805032447,1776805032427,1776805032613,166,186,20
89,1776805032447,1776805032554,1776805032682,235,128,107
90,1776805032617,1776805032554,1776805032750,133,196,63
91,1776805032617,1776805032681,1776805032817,200,136,64
92,1776805032776,1776805032681,1776805032882,106,201,95
93,1776805032776,1776805032681,1776805032949,173,268,95
94,1776805032776,1776805032818,1776805033016,240,198,42
95,1776805032948,1776805032818,1776805033083,135,265,130
96,1776805033083,1776805033014,1776805033151,68,137,69
97,1776805033083,1776805033114,1776805033218,135,104,31
98,1776805033175,1776805033114,1776805033285,110,171,61
99,1776805033175,1776805033216,1776805033352,177,136,41
100,1776805033308,1776805033216,1776805033418,110,202,92
101,1776805033308,1776805033350,1776805033484,176,134,42
