frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1776788808527,1776788808615,1776788808701,174,86,88
1,1776788808779,1776788808690,1776788808933,154,243,89
2,1776788808779,1776788808891,1776788809065,286,174,112
3,1776788808966,1776788809023,1776788809168,202,145,57
4,1776788809095,1776788809023,1776788809283,188,260,72
5,1776788809267,1776788809104,1776788809392,125,288,163
6,1776788809267,1776788809348,1776788809495,228,147,81
7,1776788809421,1776788809348,1776788809593,172,245,73
8,1776788809421,1776788809439,1776788809691,270,252,18
9,1776788809573,1776788809680,1776788809787,214,107,107
10,1776788809724,1776788809680,1776788809882,158,202,44
11,1776788809724,1776788809744,1776788809979,255,235,20
12,1776788809866,1776788809954,1776788810077,211,123,88
13,1776788810019,1776788809954,1776788810175,156,221,65
14,1776788810152,1776788810080,1776788810274,122,194,72
15,1776788810152,1776788810218,1776788810369,217,151,66
16,1776788810312,1776788810218,1776788810465,153,247,94
17,1776788810312,1776788810380,1776788810561,249,181,68
18,1776788810454,1776788810552,1776788810656,202,104,98
19,1776788810607,1776788810552,1776788810757,150,205,55
20,1776788810607,1776788810685,1776788810853,246,168,78
21,1776788810756,1776788810685,1776788810951,195,266,71
22,1776788810932,1776788810860,1776788811048,116,188,72
23,1776788810932,1776788811019,1776788811147,215,128,87
24,1776788811081,1776788811019,1776788811246,165,227,62
25,1776788811081,1776788811165,1776788811344,263,179,84
26,1776788811257,1776788811165,1776788811442,185,277,92
27,1776788811257,1776788811343,1776788811536,279,193,86
28,1776788811433,1776788811343,1776788811638,205,295,90
29,1776788811615,1776788811533,1776788811736,121,203,82
30,1776788811615,1776788811675,1776788811834,219,159,60
31,1776788811769,1776788811675,1776788811933,164,258,94
32,1776788811769,1776788811846,1776788812031,262,185,77
33,1776788811903,1776788812007,1776788812129,226,122,104
34,1776788812066,1776788812111,1776788812227,161,116,45
35,1776788812184,1776788812111,1776788812325,141,214,73
36,1776788812296,1776788812212,1776788812424,128,212,84
37,1776788812296,1776788812359,1776788812522,226,163,63
38,1776788812438,1776788812359,1776788812618,180,259,79
39,1776788812438,1776788812492,1776788812716,278,224,54
40,1776788812635,1776788812492,1776788812814,179,322,143
41,1776788812794,1776788812711,1776788812911,117,200,83
42,1776788812794,1776788812879,1776788813010,216,131,85
43,1776788812916,1776788812987,1776788813104,188,117,71
44,1776788813043,1776788812987,1776788813199,156,212,56
45,1776788813181,1776788813128,1776788813297,116,169,53
46,1776788813181,1776788813241,1776788813394,213,153,60
47,1776788813345,1776788813241,1776788813492,147,251,104
48,1776788813345,1776788813395,1776788813592,247,197,50
49,1776788813509,1776788813581,1776788813688,179,107,72
50,1776788813639,1776788813581,1776788813784,145,203,58
51,1776788813639,1776788813735,1776788813885,246,150,96
52,1776788813780,1776788813735,1776788813984,204,249,45
53,1776788813956,1776788813865,1776788814082,126,217,91
54,1776788813956,1776788814015,1776788814179,223,164,59
55,1776788814136,1776788814015,1776788814278,142,263,121
56,1776788814136,1776788814218,1776788814378,242,160,82
57,1776788814312,1776788814218,1776788814476,164,258,94
58,1776788814312,1776788814419,1776788814575,263,156,107
59,1776788814482,1776788814419,1776788814673,191,254,63
60,1776788814662,1776788814595,1776788814769,107,174,67
61,1776788814662,1776788814689,1776788814865,203,176,27
62,1776788814820,1776788814689,1776788814963,143,274,131
63,1776788814922,1776788814888,1776788815060,138,172,34
64,1776788814922,1776788815006,1776788815157,235,151,84
65,1776788815061,1776788815006,1776788815255,194,249,55
66,1776788815061,1776788815161,1776788815353,292,192,100
67,1776788815258,1776788815161,1776788815452,194,291,97
68,1776788815258,1776788815371,1776788815549,291,178,113
69,1776788815448,1776788815371,1776788815646,198,275,77
70,1776788815667,1776788815551,1776788815745,78,194,116
71,1776788815667,1776788815699,1776788815842,175,143,32
72,1776788815805,1776788815699,1776788815940,135,241,106
73,1776788815805,1776788815859,1776788816038,233,179,54
74,1776788815944,1776788816012,1776788816133,189,121,68
75,1776788816096,1776788816012,1776788816227,131,215,84
76,1776788816096,1776788816190,1776788816325,229,135,94
77,1776788816262,1776788816292,1776788816422,160,130,30
78,1776788816400,1776788816292,1776788816521,121,229,108
79,1776788816400,1776788816480,1776788816620,220,140,80
80,1776788816577,1776788816480,1776788816718,141,238,97
81,1776788816577,1776788816611,1776788816822,245,211,34
82,1776788816739,1776788816611,1776788816917,178,306,128
83,1776788816897,1776788816817,1776788817019,122,202,80
84,1776788816897,1776788816946,1776788817116,219,170,49
85,1776788817045,1776788817093,1776788817214,169,121,48
86,1776788817184,1776788817093,1776788817311,127,218,91
87,1776788817184,1776788817227,1776788817409,225,182,43
88,1776788817295,1776788817227,1776788817503,208,276,68
89,1776788817295,1776788817390,1776788817598,303,208,95
90,1776788817473,1776788817585,1776788817696,223,111,112
91,1776788817633,1776788817585,1776788817793,160,208,48
92,1776788817633,1776788817679,1776788817892,259,213,46
93,1776788817781,1776788817679,1776788817991,210,312,102
94,1776788817781,1776788817883,1776788818088,307,205,102
95,1776788817995,1776788817883,1776788818186,191,303,112
96,1776788818181,1776788818087,1776788818279,98,192,94
97,1776788818181,1776788818242,1776788818378,197,136,61
98,1776788818344,1776788818242,1776788818475,131,233,102
99,1776788818344,1776788818398,1776788818570,226,172,54
100,1776788818470,1776788818563,1776788818664,194,101,93
101,1776788818621,1776788818563,1776788818762,141,199,58
102,1776788818621,1776788818717,1776788818860,239,143,96
103,1776788818788,1776788818867,1776788818961,173,94,79
104,1776788818928,1776788818867,1776788819058,130,191,61
105,1776788818928,1776788818929,1776788819158,230,229,1
106,1776788819092,1776788818929,1776788819257,165,328,163
107,1776788819092,1776788819184,1776788819355,263,171,92
108,1776788819296,1776788819184,1776788819454,158,270,112
109,1776788819296,1776788819343,1776788819552,256,209,47
110,1776788819467,1776788819343,1776788819651,184,308,124
111,1776788819648,1776788819556,1776788819745,97,189,92
112,1776788819648,1776788819705,1776788819843,195,138,57
113,1776788819813,1776788819705,1776788819943,130,238,108
114,1776788819813,1776788819911,1776788820041,228,130,98
115,1776788819976,1776788819911,1776788820139,163,228,65
116,1776788819976,1776788820041,1776788820238,262,197,65
117,1776788820127,1776788820209,1776788820335,208,126,82
118,1776788820280,1776788820209,1776788820432,152,223,71
119,1776788820398,1776788820334,1776788820528,130,194,64
120,1776788820398,1776788820493,1776788820625,227,132,95
121,1776788820560,1776788820621,1776788820721,161,100,61
122,1776788820685,1776788820621,1776788820818,133,197,64
123,1776788820685,1776788820761,1776788820914,229,153,76
124,1776788820838,1776788820891,1776788821012,174,121,53
125,1776788820957,1776788820891,1776788821115,158,224,66
126,1776788821090,1776788820997,1776788821211,121,214,93
127,1776788821090,1776788821181,1776788821308,218,127,91
128,1776788821233,1776788821181,1776788821405,172,224,52
129,1776788821233,1776788821320,1776788821505,272,185,87
130,1776788821426,1776788821320,1776788821602,176,282,106
131,1776788821598,1776788821503,1776788821702,104,199,95
132,1776788821598,1776788821673,1776788821801,203,128,75
133,1776788821736,1776788821673,1776788821901,165,228,63
134,1776788821736,1776788821825,1776788822000,264,175,89
135,1776788821915,1776788821825,1776788822097,182,272,90
136,1776788822093,1776788821981,1776788822196,103,215,112
137,1776788822093,1776788822153,1776788822294,201,141,60
138,1776788822209,1776788822153,1776788822389,180,236,56
139,1776788822367,1776788822280,1776788822485,118,205,87
140,1776788822367,1776788822427,1776788822583,216,156,60
141,1776788822511,1776788822427,1776788822679,168,252,84
142,1776788822511,1776788822559,1776788822778,267,219,48
143,1776788822683,1776788822752,1776788822876,193,124,69
144,1776788822830,1776788822752,1776788822974,144,222,78
145,1776788822830,1776788822895,1776788823072,242,177,65
146,1776788822952,1776788822895,1776788823167,215,272,57
147,1776788823144,1776788823053,1776788823266,122,213,91
148,1776788823144,1776788823215,1776788823364,220,149,71
149,1776788823249,1776788823215,1776788823458,209,243,34
150,1776788823249,1776788823215,1776788823553,304,338,34
151,1776788823517,1776788823425,1776788823651,134,226,92
152,1776788823517,1776788823559,1776788823749,232,190,42
153,1776788823638,1776788823711,1776788823846,208,135,73
154,1776788823763,1776788823826,1776788823945,182,119,63
155,1776788823910,1776788823826,1776788824044,134,218,84
156,1776788823910,1776788823978,1776788824138,228,160,68
157,1776788824063,1776788823978,1776788824236,173,258,85
158,1776788824063,1776788824172,1776788824334,271,162,109
159,1776788824256,1776788824327,1776788824430,174,103,71
160,1776788824377,1776788824327,1776788824528,151,201,50
161,1776788824377,1776788824462,1776788824625,248,163,85
162,1776788824444,1776788824462,1776788824722,278,260,18
163,1776788824444,1776788824699,1776788824819,375,120,255
164,1776788824444,1776788824819,1776788824920,476,101,375
165,1776788824444,1776788824863,1776788825018,574,155,419
166,1776788824444,1776788825006,1776788825116,672,110,562
167,1776788824444,1776788825088,1776788825214,770,126,644
168,1776788824444,1776788825156,1776788825309,865,153,712
169,1776788824444,1776788825290,1776788825408,964,118,846
170,1776788824444,1776788825356,1776788825505,1061,149,912
171,1776788824444,1776788825437,1776788825602,1158,165,993
172,1776788824444,1776788825518,1776788825698,1254,180,1074
173,1776788824444,1776788825669,1776788825795,1351,126,1225
174,1776788824444,1776788825766,1776788825891,1447,125,1322
175,1776788824444,1776788825831,1776788825986,1542,155,1387
176,1776788824444,1776788825982,1776788826080,1636,98,1538
177,1776788824444,1776788826021,1776788826177,1733,156,1577
178,1776788824444,1776788826106,1776788826274,1830,168,1662
179,1776788824444,1776788826262,1776788826371,1927,109,1818
180,1776788824444,1776788826375,1776788826467,2023,92,1931
181,1776788824444,1776788826473,1776788826564,2120,91,2029
182,1776788824444,1776788826539,1776788826656,2212,117,2095
183,1776788824444,1776788826602,1776788826753,2309,151,2158
184,1776788824444,1776788826688,1776788826850,2406,162,2244
185,1776788824444,1776788826828,1776788826944,2500,116,2384
186,1776788824444,1776788826882,1776788827038,2594,156,2438
187,1776788824444,1776788827026,1776788827133,2689,107,2582
188,1776788824444,1776788827104,1776788827230,2786,126,2660
189,1776788824444,1776788827203,1776788827324,2880,121,2759
190,1776788824444,1776788827303,1776788827419,2975,116,2859
191,1776788824444,1776788827384,1776788827515,3071,131,2940
192,1776788824444,1776788827456,1776788827610,3166,154,3012
193,1776788824444,1776788827552,1776788827707,3263,155,3108
194,1776788824444,1776788827648,1776788827800,3356,152,3204
195,1776788824444,1776788827783,1776788827898,3454,115,3339
196,1776788824444,1776788827858,1776788827996,3552,138,3414
197,1776788824444,1776788827930,1776788828092,3648,162,3486
198,1776788824444,1776788827985,1776788828189,3745,204,3541
199,1776788824444,1776788828153,1776788828285,3841,132,3709
200,1776788824444,1776788828245,1776788828383,3939,138,3801
201,1776788824444,1776788828373,1776788828479,4035,106,3929
202,1776788824444,1776788828440,1776788828579,4135,139,3996
203,1776788824444,1776788828545,1776788828676,4232,131,4101
204,1776788824444,1776788828603,1776788828772,4328,169,4159
205,1776788824444,1776788828700,1776788828868,4424,168,4256
206,1776788824444,1776788828805,1776788828966,4522,161,4361
207,1776788824444,1776788828883,1776788829066,4622,183,4439
208,1776788824444,1776788828955,1776788829160,4716,205,4511
209,1776788824444,1776788829149,1776788829257,4813,108,4705
210,1776788824444,1776788829227,1776788829354,4910,127,4783
211,1776788824444,1776788829270,1776788829449,5005,179,4826
212,1776788824444,1776788829408,1776788829545,5101,137,4964
213,1776788824444,1776788829506,1776788829639,5195,133,5062
214,1776788824444,1776788829579,1776788829738,5294,159,5135
215,1776788824444,1776788829661,1776788829836,5392,175,5217
216,1776788824444,1776788829737,1776788829934,5490,197,5293
217,1776788824444,1776788829908,1776788830029,5585,121,5464
218,1776788824444,1776788829989,1776788830124,5680,135,5545
219,1776788824444,1776788830092,1776788830222,5778,130,5648
220,1776788824444,1776788830170,1776788830319,5875,149,5726
221,1776788824444,1776788830240,1776788830413,5969,173,5796
