frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1776805585522,1776805585529,1776805585544,22,15,7
1,1776805585658,1776805585666,1776805585703,45,37,8
2,1776805585758,1776805585739,1776805585773,15,34,19
3,1776805585820,1776805585808,1776805585843,23,35,12
4,1776805585879,1776805585886,1776805585918,39,32,7
5,1776805585919,1776805585919,1776805585987,68,68,0
6,1776805586026,1776805586026,1776805586063,37,37,0
7,1776805586097,1776805586096,1776805586131,34,35,1
8,1776805586159,1776805586165,1776805586197,38,32,6
9,1776805586224,1776805586237,1776805586262,38,25,13
10,1776805586293,1776805586293,1776805586327,34,34,0
11,1776805586364,1776805586364,1776805586393,29,29,0
12,1776805586364,1776805586426,1776805586458,94,32,62
13,1776805586426,1776805586426,1776805586524,98,98,0
14,1776805586560,1776805586499,1776805586590,30,91,61
15,1776805586560,1776805586560,1776805586656,96,96,0
16,1776805586632,1776805586632,1776805586722,90,90,0
17,1776805586761,1776805586767,1776805586788,27,21,6
18,1776805586826,1776805586767,1776805586854,28,87,59
19,1776805586893,1776805586839,1776805586919,26,80,54
20,1776805586926,1776805586899,1776805586984,58,85,27
21,1776805587032,1776805586964,1776805587050,18,86,68
22,1776805587064,1776805587026,1776805587117,53,91,38
23,1776805587133,1776805587095,1776805587183,50,88,38
24,1776805587226,1776805587164,1776805587249,23,85,62
25,1776805587264,1776805587233,1776805587316,52,83,31
26,1776805587328,1776805587295,1776805587382,54,87,33
27,1776805587393,1776805587360,1776805587448,55,88,33
28,1776805587457,1776805587444,1776805587514,57,70,13
29,1776805587560,1776805587499,1776805587581,21,82,61
30,1776805587593,1776805587566,1776805587646,53,80,27
31,1776805587653,1776805587635,1776805587713,60,78,18
32,1776805587697,1776805587697,1776805587779,82,82,0
33,1776805587793,1776805587760,1776805587845,52,85,33
34,1776805587852,1776805587836,1776805587912,60,76,16
35,1776805587899,1776805587899,1776805587978,79,79,0
36,1776805587966,1776805587966,1776805588043,77,77,0
37,1776805588033,1776805588033,1776805588110,77,77,0
38,1776805588114,1776805588099,1776805588176,62,77,15
39,1776805588182,1776805588160,1776805588242,60,82,22
40,1776805588291,1776805588231,1776805588309,18,78,60
41,1776805588328,1776805588291,1776805588375,47,84,37
42,1776805588391,1776805588359,1776805588441,50,82,32
43,1776805588451,1776805588438,1776805588507,56,69,13
44,1776805588515,1776805588499,1776805588573,58,74,16
45,1776805588566,1776805588566,1776805588638,72,72,0
46,1776805588626,1776805588638,1776805588705,79,67,12
47,1776805588714,1776805588699,1776805588770,56,71,15
48,1776805588793,1776805588759,1776805588836,43,77,34
49,1776805588862,1776805588834,1776805588903,41,69,28
50,1776805588922,1776805588903,1776805588968,46,65,19
51,1776805588965,1776805588965,1776805589034,69,69,0
52,1776805589061,1776805589033,1776805589101,40,68,28
53,1776805589126,1776805589092,1776805589167,41,75,34
54,1776805589180,1776805589165,1776805589232,52,67,15
55,1776805589281,1776805589267,1776805589298,17,31,14
56,1776805589330,1776805589293,1776805589363,33,70,37
57,1776805589392,1776805589361,1776805589429,37,68,31
58,1776805589461,1776805589431,1776805589495,34,64,30
59,1776805589526,1776805589545,1776805589561,35,16,19
60,1776805589590,1776805589590,1776805589626,36,36,0
61,1776805589662,1776805589616,1776805589692,30,76,46
62,1776805589713,1776805589700,1776805589758,45,58,13
63,1776805589765,1776805589766,1776805589824,59,58,1
64,1776805589862,1776805589833,1776805589890,28,57,29
65,1776805589914,1776805589901,1776805589956,42,55,13
66,1776805589981,1776805589960,1776805590022,41,62,21
67,1776805590062,1776805590034,1776805590087,25,53,28
68,1776805590115,1776805590100,1776805590153,38,53,15
69,1776805590193,1776805590159,1776805590218,25,59,34
70,1776805590251,1776805590234,1776805590283,32,49,17
71,1776805590293,1776805590300,1776805590349,56,49,7
72,1776805590392,1776805590371,1776805590415,23,44,21
73,1776805590392,1776805590371,1776805590480,88,109,21
74,1776805590495,1776805590495,1776805590546,51,51,0
75,1776805590593,1776805590564,1776805590612,19,48,29
76,1776805590626,1776805590633,1776805590678,52,45,7
77,1776805590715,1776805590702,1776805590743,28,41,13
78,1776805590761,1776805590761,1776805590809,48,48,0
79,1776805590825,1776805590832,1776805590875,50,43,7
80,1776805590862,1776805590893,1776805590942,80,49,31
81,1776805590981,1776805590967,1776805591008,27,41,14
82,1776805591027,1776805591040,1776805591073,46,33,13
83,1776805591115,1776805591101,1776805591138,23,37,14
84,1776805591160,1776805591160,1776805591204,44,44,0
85,1776805591227,1776805591227,1776805591270,43,43,0
86,1776805591293,1776805591293,1776805591335,42,42,0
87,1776805591359,1776805591359,1776805591400,41,41,0
88,1776805591426,1776805591432,1776805591466,40,34,6
89,1776805591462,1776805591432,1776805591531,69,99,30
90,1776805591525,1776805591566,1776805591597,72,31,41
91,1776805591626,1776805591566,1776805591663,37,97,60
92,1776805591694,1776805591693,1776805591728,34,35,1
93,1776805591758,1776805591758,1776805591794,36,36,0
94,1776805591758,1776805591758,1776805591859,101,101,0
95,1776805591897,1776805591897,1776805591925,28,28,0
96,1776805591897,1776805591897,1776805591990,93,93,0
97,1776805592027,1776805592027,1776805592056,29,29,0
98,1776805592064,1776805592095,1776805592121,57,26,31
99,1776805592133,1776805592095,1776805592186,53,91,38
100,1776805592181,1776805592164,1776805592252,71,88,17
101,1776805592226,1776805592246,1776805592319,93,73,20
102,1776805592299,1776805592299,1776805592385,86,86,0
103,1776805592366,1776805592366,1776805592451,85,85,0
104,1776805592432,1776805592432,1776805592517,85,85,0
105,1776805592494,1776805592494,1776805592583,89,89,0
106,1776805592560,1776805592560,1776805592649,89,89,0
107,1776805592627,1776805592627,1776805592715,88,88,0
108,1776805592693,1776805592700,1776805592781,88,81,7
109,1776805592827,1776805592766,1776805592847,20,81,61
110,1776805592864,1776805592842,1776805592914,50,72,22
111,1776805592927,1776805592895,1776805592980,53,85,32
112,1776805593026,1776805592965,1776805593046,20,81,61
113,1776805593065,1776805593032,1776805593114,49,82,33
114,1776805593115,1776805593100,1776805593180,65,80,15
115,1776805593195,1776805593160,1776805593247,52,87,35
116,1776805593264,1776805593225,1776805593313,49,88,39
117,1776805593359,1776805593303,1776805593379,20,76,56
118,1776805593394,1776805593366,1776805593445,51,79,28
119,1776805593454,1776805593441,1776805593512,58,71,13
120,1776805593493,1776805593513,1776805593578,85,65,20
121,1776805593566,1776805593566,1776805593644,78,78,0
122,1776805593633,1776805593627,1776805593711,78,84,6
123,1776805593694,1776805593627,1776805593776,82,149,67
124,1776805593791,1776805593784,1776805593843,52,59,7
125,1776805593833,1776805593833,1776805593910,77,77,0
126,1776805593893,1776805593912,1776805593976,83,64,19
127,1776805593961,1776805593973,1776805594042,81,69,12
128,1776805594028,1776805594040,1776805594108,80,68,12
129,1776805594100,1776805594100,1776805594174,74,74,0
130,1776805594160,1776805594173,1776805594239,79,66,13
131,1776805594257,1776805594233,1776805594307,50,74,24
132,1776805594316,1776805594296,1776805594374,58,78,20
133,1776805594361,1776805594380,1776805594441,80,61,19
134,1776805594433,1776805594433,1776805594507,74,74,0
135,1776805594515,1776805594494,1776805594573,58,79,21
136,1776805594564,1776805594564,1776805594639,75,75,0
137,1776805594663,1776805594640,1776805594706,43,66,23
138,1776805594715,1776805594699,1776805594770,55,71,16
139,1776805594761,1776805594761,1776805594836,75,75,0
140,1776805594827,1776805594827,1776805594903,76,76,0
141,1776805594915,1776805594894,1776805594968,53,74,21
142,1776805594981,1776805594965,1776805595035,54,70,16
143,1776805595062,1776805595033,1776805595102,40,69,29
144,1776805595115,1776805595101,1776805595167,52,66,14
145,1776805595182,1776805595162,1776805595233,51,71,20
146,1776805595259,1776805595240,1776805595300,41,60,19
147,1776805595322,1776805595303,1776805595366,44,63,19
148,1776805595393,1776805595360,1776805595431,38,71,33
149,1776805595463,1776805595432,1776805595497,34,65,31
150,1776805595527,1776805595432,1776805595562,35,130,95
151,1776805595593,1776805595560,1776805595629,36,69,33
152,1776805595661,1776805595648,1776805595695,34,47,13
153,1776805595727,1776805595700,1776805595761,34,61,27
154,1776805595782,1776805595766,1776805595827,45,61,16
155,1776805595863,1776805595835,1776805595892,29,57,28
156,1776805595915,1776805595898,1776805595957,42,59,17
157,1776805595969,1776805595961,1776805596023,54,62,8
158,1776805596064,1776805596034,1776805596087,23,53,30
159,1776805596064,1776805596096,1776805596152,88,56,32
160,1776805596182,1776805596165,1776805596218,36,53,17
161,1776805596234,1776805596227,1776805596284,50,57,7
162,1776805596300,1776805596300,1776805596351,51,51,0
163,1776805596394,1776805596366,1776805596417,23,51,28
164,1776805596456,1776805596443,1776805596482,26,39,13
165,1776805596501,1776805596501,1776805596547,46,46,0
166,1776805596561,1776805596561,1776805596613,52,52,0
