frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1776198920404,1776198920480,1776198920597,193,117,76
1,1776198920668,1776198920729,1776198920860,192,131,61
2,1776198920789,1776198920729,1776198920940,151,211,60
3,1776198920920,1776198920846,1776198921036,116,190,74
4,1776198920920,1776198920966,1776198921137,217,171,46
5,1776198921050,1776198921112,1776198921273,223,161,62
6,1776198921165,1776198921112,1776198921336,171,224,53
7,1776198921165,1776198921258,1776198921432,267,174,93
8,1776198921340,1776198921401,1776198921512,172,111,61
9,1776198921459,1776198921401,1776198921586,127,185,58
10,1776198921459,1776198921516,1776198921663,204,147,57
11,1776198921574,1776198921636,1776198921739,165,103,62
12,1776198921702,1776198921636,1776198921816,114,180,66
13,1776198921702,1776198921749,1776198921889,187,140,47
14,1776198921827,1776198921749,1776198921965,138,216,78
15,1776198921827,1776198921874,1776198922038,211,164,47
16,1776198921939,1776198921986,1776198922113,174,127,47
17,1776198922044,1776198921986,1776198922187,143,201,58
18,1776198922044,1776198922112,1776198922266,222,154,68
19,1776198922183,1776198922112,1776198922345,162,233,71
20,1776198922325,1776198922258,1776198922425,100,167,67
21,1776198922325,1776198922382,1776198922505,180,123,57
22,1776198922441,1776198922382,1776198922582,141,200,59
23,1776198922557,1776198922494,1776198922657,100,163,63
24,1776198922557,1776198922608,1776198922732,175,124,51
25,1776198922674,1776198922608,1776198922806,132,198,66
26,1776198922674,1776198922732,1776198922880,206,148,58
27,1776198922793,1776198922854,1776198922956,163,102,61
28,1776198922902,1776198922854,1776198923032,130,178,48
29,1776198922902,1776198922953,1776198923106,204,153,51
30,1776198923025,1776198922953,1776198923181,156,228,72
31,1776198923139,1776198923086,1776198923255,116,169,53
32,1776198923139,1776198923188,1776198923331,192,143,49
33,1776198923257,1776198923188,1776198923411,154,223,69
34,1776198923375,1776198923317,1776198923493,118,176,58
35,1776198923375,1776198923433,1776198923576,201,143,58
36,1776198923487,1776198923433,1776198923653,166,220,54
37,1776198923627,1776198923566,1776198923730,103,164,61
38,1776198923627,1776198923682,1776198923808,181,126,55
39,1776198923746,1776198923682,1776198923881,135,199,64
40,1776198923746,1776198923815,1776198923957,211,142,69
41,1776198923883,1776198923815,1776198924029,146,214,68
42,1776198923995,1776198923942,1776198924102,107,160,53
43,1776198923995,1776198924056,1776198924175,180,119,61
44,1776198924127,1776198924056,1776198924250,123,194,71
45,1776198924127,1776198924179,1776198924322,195,143,52
46,1776198924246,1776198924179,1776198924393,147,214,67
47,1776198924357,1776198924305,1776198924466,109,161,52
48,1776198924357,1776198924420,1776198924540,183,120,63
49,1776198924480,1776198924420,1776198924614,134,194,60
50,1776198924480,1776198924527,1776198924688,208,161,47
51,1776198924596,1776198924660,1776198924761,165,101,64
52,1776198924596,1776198924660,1776198924835,239,175,64
53,1776198924738,1776198924796,1776198924908,170,112,58
54,1776198924866,1776198924796,1776198924984,118,188,70
55,1776198924866,1776198924915,1776198925061,195,146,49
56,1776198924973,1776198925029,1776198925137,164,108,56
57,1776198925097,1776198925029,1776198925219,122,190,68
58,1776198925097,1776198925152,1776198925302,205,150,55
59,1776198925207,1776198925273,1776198925380,173,107,66
60,1776198925331,1776198925273,1776198925459,128,186,58
61,1776198925331,1776198925389,1776198925538,207,149,58
62,1776198925459,1776198925389,1776198925617,158,228,70
63,1776198925589,1776198925521,1776198925699,110,178,68
64,1776198925589,1776198925656,1776198925781,192,125,67
65,1776198925720,1776198925656,1776198925862,142,206,64
66,1776198925720,1776198925779,1776198925939,219,160,59
67,1776198925862,1776198925779,1776198926016,154,237,83
68,1776198925862,1776198925917,1776198926089,227,172,55
69,1776198925990,1776198926045,1776198926163,173,118,55
70,1776198926097,1776198926045,1776198926237,140,192,52
71,1776198926097,1776198926175,1776198926312,215,137,78
72,1776198926097,1776198926223,1776198926383,286,160,126
73,1776198926097,1776198926346,1776198926455,358,109,249
74,1776198926097,1776198926411,1776198926527,430,116,314
75,1776198926097,1776198926464,1776198926596,499,132,367
76,1776198926097,1776198926524,1776198926667,570,143,427
77,1776198926097,1776198926587,1776198926738,641,151,490
78,1776198926097,1776198926701,1776198926809,712,108,604
79,1776198926097,1776198926771,1776198926880,783,109,674
80,1776198926097,1776198926825,1776198926952,855,127,728
81,1776198926097,1776198926876,1776198927023,926,147,779
82,1776198926097,1776198926946,1776198927093,996,147,849
83,1776198926097,1776198927007,1776198927164,1067,157,910
84,1776198926097,1776198927131,1776198927235,1138,104,1034
85,1776198926097,1776198927192,1776198927306,1209,114,1095
86,1776198926097,1776198927251,1776198927377,1280,126,1154
87,1776198926097,1776198927302,1776198927448,1351,146,1205
88,1776198926097,1776198927373,1776198927519,1422,146,1276
89,1776198926097,1776198927428,1776198927589,1492,161,1331
90,1776198926097,1776198927491,1776198927660,1563,169,1394
91,1776198926097,1776198927631,1776198927731,1634,100,1534
92,1776198926097,1776198927691,1776198927802,1705,111,1594
93,1776198926097,1776198927751,1776198927872,1775,121,1654
94,1776198926097,1776198927819,1776198927943,1846,124,1722
95,1776198926097,1776198927879,1776198928014,1917,135,1782
96,1776198926097,1776198927939,1776198928085,1988,146,1842
97,1776198926097,1776198928009,1776198928156,2059,147,1912
98,1776198926097,1776198928070,1776198928227,2130,157,1973
99,1776198926097,1776198928189,1776198928297,2200,108,2092
100,1776198926097,1776198928253,1776198928368,2271,115,2156
101,1776198926097,1776198928314,1776198928439,2342,125,2217
102,1776198926097,1776198928375,1776198928511,2414,136,2278
103,1776198926097,1776198928435,1776198928581,2484,146,2338
104,1776198926097,1776198928489,1776198928651,2554,162,2392
105,1776198926097,1776198928618,1776198928722,2625,104,2521
106,1776198926097,1776198928678,1776198928793,2696,115,2581
107,1776198926097,1776198928739,1776198928864,2767,125,2642
108,1776198926097,1776198928801,1776198928935,2838,134,2704
109,1776198926097,1776198928871,1776198929007,2910,136,2774
110,1776198926097,1776198928939,1776198929077,2980,138,2842
111,1776198926097,1776198929007,1776198929148,3051,141,2910
112,1776198926097,1776198929074,1776198929220,3123,146,2977
113,1776198926097,1776198929136,1776198929291,3194,155,3039
114,1776198926097,1776198929198,1776198929361,3264,163,3101
115,1776198926097,1776198929327,1776198929432,3335,105,3230
116,1776198926097,1776198929386,1776198929503,3406,117,3289
117,1776198926097,1776198929457,1776198929573,3476,116,3360
118,1776198926097,1776198929509,1776198929643,3546,134,3412
119,1776198926097,1776198929576,1776198929715,3618,139,3479
120,1776198926097,1776198929636,1776198929785,3688,149,3539
121,1776198926097,1776198929704,1776198929856,3759,152,3607
122,1776198926097,1776198929773,1776198929927,3830,154,3676
123,1776198926097,1776198929844,1776198929997,3900,153,3747
124,1776198926097,1776198929966,1776198930069,3972,103,3869
125,1776198926097,1776198930025,1776198930139,4042,114,3928
126,1776198926097,1776198930085,1776198930210,4113,125,3988
127,1776198926097,1776198930146,1776198930281,4184,135,4049
128,1776198926097,1776198930217,1776198930352,4255,135,4120
129,1776198926097,1776198930276,1776198930423,4326,147,4179
130,1776198926097,1776198930338,1776198930493,4396,155,4241
131,1776198926097,1776198930406,1776198930564,4467,158,4309
